market,grid,candidates,cagr,volatility,sharpe,maximum_drawdown,calmar,expected_shortfall_5pct,turnover,leverage,shifts,dev_cagr,dev_volatility,dev_sharpe,dev_maximum_drawdown,dev_calmar,dev_expected_shortfall_5pct,dev_turnover,dev_leverage,within_tol
us,table3,0|2|4|8|20,0.0828277014972616,0.1125695541168922,0.5317350232260588,-0.25200524110126954,0.23752353011118071,-0.0178770945388373,1.765323992994746,0.7211908931698774,120,0.0021722985027384095,0.00043044588310779675,0.008264976773941224,0.03699475889873044,0.027523530111180722,0.00012290546116269785,0.35532399299474604,0.0011908931698774161,7
us,table3_plus6,0|2|4|6|8|20,0.0819786794251498,0.11236792546696707,0.5255060528564083,-0.25200524110126865,0.234320622546416,-0.01786382900293448,1.7947460595446585,0.7204903677758319,122,0.003021320574850203,0.0006320745330329336,0.014493947143591757,0.03699475889873133,0.02432062254641601,0.00013617099706551838,0.38474605954465857,0.0004903677758318903,7
us,filtered,2|4|6|8|20,0.0852505132397019,0.11288304135624914,0.5503757894047108,-0.25200524110126865,0.24653492413629596,-0.017902142693596503,1.5299474605954466,0.7215411558669002,104,0.0002505132397018911,0.00011695864375085852,0.010375789404710734,0.03699475889873133,0.03653492413629597,9.785730640349613e-05,0.1199474605954467,0.001541155866900179,7
us,bulla_only,6,0.07673579598313696,0.11250702461691019,0.48182735481453326,-0.23920001595153828,0.22662608049408364,-0.018088121966270604,1.8535901926444833,0.724927028604787,126,0.00826420401686305,0.0004929753830898165,0.058172645185466776,0.0497999840484617,0.01662608049408365,8.812196627060523e-05,0.4435901926444834,0.004927028604786998,6
us,dense_small,2|4|6|8|10|12,0.08603692410997099,0.11266163864119516,0.5576629629513241,-0.23513374921926933,0.26719781156133393,-0.01786109627477256,1.4711033274956218,0.7224751897256275,100,0.0010369241099709853,0.0003383613588048423,0.01766296295132408,0.05386625078073065,0.05719781156133394,0.00013890372522743985,0.06110332749562186,0.002475189725627547,5
us,dense_wide,4|8|12|16|20,0.08894596631487017,0.11320186259329121,0.5791748124057122,-0.25344659726807284,0.2586882926745288,-0.0178998608618228,1.412259194395797,0.7221249270286048,96,0.003945966314870167,0.00020186259329120493,0.03917481240571219,0.03555340273192714,0.048688292674528816,0.00010013913817719794,0.002259194395797026,0.002124927028604784,8
us,reach_low,2|4,0.07600278162462959,0.11223548401538413,0.47663328673674155,-0.22732480329195148,0.2353248165623094,-0.018015541680093984,2.9422066549912436,0.7301809690601284,200,0.008997218375370417,0.0007645159846158683,0.06336671326325849,0.061675196708048496,0.02532481656230942,1.554168009398546e-05,1.5322066549912436,0.010180969060128442,5
us,reach_no_tail,0|2|4|6,0.07366427764284311,0.11052680617959935,0.46260671300943734,-0.19809073102305985,0.2581162795558743,-0.017799893655355344,3.236427320490368,0.723175715119673,220,0.011335722357156894,0.0024731938204006487,0.07739328699056269,0.09090926897694013,0.0481162795558743,0.00020010634464465507,1.826427320490368,0.0031757151196730726,5
de,table3,0|2|4|8|20,0.07155588937534296,0.13986233856262514,0.3922906701810969,-0.3752240696109598,0.146223803245657,-0.021958630056904845,2.197163450360381,0.7294815159265288,150,0.007555889375342961,0.0001376614373748697,0.042290670181096945,0.02977593038904025,0.026223803245657012,4.136994309515349e-05,0.2628365496396188,0.0005184840734712148,7
de,table3_plus6,0|2|4|6|8|20,0.0678029885959035,0.1399556446635385,0.36704996692255887,-0.40198714230073906,0.12779193496180324,-0.02201070904034612,2.2557544757033248,0.7294815159265288,154,0.0038029885959035004,4.435533646152123e-05,0.01704996692255889,0.0030128576992609624,0.0077919349618032485,1.0709040346119914e-05,0.2042455242966752,0.0005184840734712148,7
de,filtered,2|4|6|8|20,0.06960382581016877,0.13987607479201658,0.37920851015550877,-0.40198714230073906,0.13194998632219584,-0.021924473880067345,2.226458963031853,0.7292490118577075,152,0.005603825810168772,0.00012392520798343298,0.029208510155508793,0.0030128576992609624,0.011949986322195849,7.552611993265346e-05,0.233541036968147,0.0007509881422924636,7
de,bulla_only,6,0.06676471151105545,0.14056262828168786,0.3591615936366684,-0.4121098103885975,0.12250302299720861,-0.022107265695965626,1.8163217856312486,0.7318065566147408,124,0.002764711511055451,0.0005626282816878492,0.009161593636668408,0.007109810388597482,0.002503022997208615,0.00010726569596562763,0.6436782143687514,0.0018065566147408285,7
de,dense_small,2|4|6|8|10|12,0.06809749219089944,0.13984607041117805,0.36917992993141485,-0.4206945883801938,0.12272171761079174,-0.02194823759963141,2.0799813996744945,0.7278539874447802,142,0.004097492190899443,0.0001539295888219605,0.019179929931414874,0.015694588380193775,0.002721717610791749,5.176240036858931e-05,0.3800186003255055,0.002146012555219734,7
de,dense_wide,4|8|12|16|20,0.07301429896678258,0.13990930590507572,0.4019163697764173,-0.3551374999171202,0.1583382220701259,-0.021935402688084384,1.9920948616600789,0.7290165077888863,136,0.009014298966782575,9.069409492429292e-05,0.05191636977641734,0.049862500082879846,0.03833822207012591,6.459731191561444e-05,0.4679051383399211,0.0009834922111137123,6
de,reach_low,2|4,0.07148520912971734,0.14021846986834288,0.3911657031648287,-0.42047632431333615,0.1304441015848346,-0.02194669891506561,2.431527551732155,0.7322715647523832,166,0.007485209129717341,0.00021846986834286874,0.041165703164828704,0.01547632431333612,0.010444101584834609,5.330108493438804e-05,0.028472448267844896,0.002271564752383215,8
de,reach_no_tail,0|2|4|6,0.072417411349051,0.1397607577703515,0.3982342699052973,-0.4121098103885995,0.13505507980895842,-0.02197007616882848,2.2557544757033248,0.7306440362706348,154,0.008417411349050996,0.00023924222964852304,0.04823426990529733,0.00710981038859948,0.015055079808958427,2.9923831171518173e-05,0.2042455242966752,0.0006440362706348068,7
jp,table3,0|2|4|8|20,0.023230899920666515,0.1599112823410175,0.1820767170170064,-0.5173253550929867,0.05628203028517436,-0.02517244349410445,3.29510556621881,0.6795825335892515,218,0.0017691000793334868,8.871765898249562e-05,0.007923282982993607,0.03132535509298673,0.0037179697148256377,0.00017244349410444962,0.3951055662188101,0.00041746641074857926,7
jp,table3_plus6,0|2|4|6|8|20,0.022415727300098665,0.15980463276395357,0.17710231189905581,-0.5173253550929867,0.054707873171205124,-0.025137238548276552,3.1439539347408827,0.6795825335892515,208,0.002584272699901337,0.00019536723604643425,0.012897688100944188,0.03132535509298673,0.005292126828794874,0.0001372385482765505,0.24395393474088278,0.00041746641074857926,7
jp,filtered,2|4|6|8|20,0.022415727300098665,0.15980463276395357,0.17710231189905581,-0.5173253550929867,0.054707873171205124,-0.025137238548276552,3.1439539347408827,0.6795825335892515,208,0.002584272699901337,0.00019536723604643425,0.012897688100944188,0.03132535509298673,0.005292126828794874,0.0001372385482765505,0.24395393474088278,0.00041746641074857926,7
jp,bulla_only,6,0.022982236908221987,0.15767010346184462,0.18086678554206975,-0.5316783662816398,0.05363634595228814,-0.024764405147182644,2.992802303262956,0.6776631477927063,198,0.0020177630917780146,0.0023298965381553793,0.00913321445793025,0.04567836628163979,0.006363654047711859,0.0002355948528173571,0.09280230326295591,0.002336852207293738,7
jp,dense_small,2|4|6|8|10|12,0.021512189725363617,0.1585749830368154,0.17165530372715684,-0.5510247342265058,0.04939930131253248,-0.024821707145714116,3.264875239923225,0.6807821497120922,216,0.003487810274636384,0.0014250169631846166,0.01834469627284316,0.06502473422650579,0.010600698687467519,0.00017829285428588512,0.3648752399232249,0.0007821497120921173,6
jp,dense_wide,4|8|12|16|20,0.030009212413345532,0.15931723481260254,0.2235929102574928,-0.46068304574948093,0.0773247561736784,-0.02495183714302304,2.7509596928982725,0.676943378119002,182,0.00500921241334553,0.0006827651873974605,0.03359291025749281,0.025316954250519053,0.0173247561736784,4.8162856976962515e-05,0.14904030710172744,0.0030566218809980894,7
jp,reach_low,2|4,0.027101810588264552,0.15873936182699916,0.20599987753491195,-0.531046619804105,0.061577059107154365,-0.0247176083072716,4.685700575815739,0.685700575815739,309,0.0021018105882645507,0.0012606381730008442,0.015999877534911944,0.04504661980410496,0.0015770591071543674,0.0002823916927284023,1.785700575815739,0.005700575815738906,7
jp,reach_no_tail,0|2|4|6,0.022185353606970715,0.15762570902362297,0.17591673632844104,-0.5398277782461621,0.05136638278041296,-0.024701536535267334,3.899712092130518,0.6815019193857965,258,0.0028146463930292867,0.002374290976377036,0.01408326367155896,0.05382777824616214,0.00863361721958704,0.0002984634647326678,0.999712092130518,0.0015019193857964686,6
