peak,trough,depth
1999-07-16,2002-02-07,-0.23211837419675108
1998-07-17,1998-10-01,-0.19446446864635536
1990-07-16,1990-10-11,-0.193415945241446
2011-04-29,2011-08-08,-0.1744717738874253
2007-07-19,2009-08-17,-0.1533597811946381
2018-01-26,2018-03-23,-0.14613441697269036
