lambda,shifts_total,per_year_calendar,per_year_252,published
0.0,304,7.238095238095238,7.236044205157269,9.7
5.0,84,2.0,1.9994332672145085,2.7
15.0,56,1.3333333333333333,1.332955511476339,1.7
35.0,24,0.5714285714285714,0.5712666477755739,0.8
70.0,20,0.47619047619047616,0.4760555398129782,0.5
150.0,12,0.2857142857142857,0.28563332388778695,0.4
