market,lambda,weight,share,in_support
us,1000.0,88.0,0.21153846153846154,True
us,80.0,44.0,0.10576923076923077,True
us,60.0,41.0,0.0985576923076923,True
us,30.0,38.0,0.09134615384615384,True
us,100.0,33.0,0.07932692307692307,True
us,10.0,33.0,0.07932692307692307,True
us,13.894954943731374,23.0,0.055288461538461536,True
us,40.0,22.0,0.052884615384615384,True
us,26.826957952797247,21.0,0.05048076923076923,True
us,35.0,20.0,0.04807692307692308,True
us,15.0,20.0,0.04807692307692308,True
us,0.1,17.0,0.040865384615384616,False
us,1.0,16.0,0.038461538461538464,False
de,1000.0,402.0,0.3839541547277937,True
de,0.1,130.0,0.12416427889207259,True
de,0.0,73.0,0.06972301814708691,True
de,220.0,73.0,0.06972301814708691,True
de,7.196856730011519,63.0,0.06017191977077364,True
de,40.0,55.0,0.05253104106972302,True
de,10.0,39.0,0.03724928366762178,True
de,1.0,37.0,0.03533906399235912,True
de,100.0,22.0,0.021012416427889206,True
de,5.0,21.0,0.02005730659025788,True
de,80.0,21.0,0.02005730659025788,True
de,25.0,20.0,0.019102196752626553,True
de,70.0,20.0,0.019102196752626553,False
de,15.0,20.0,0.019102196752626553,False
de,4.641588833612778,18.0,0.017191977077363897,False
de,1.93069772888325,17.0,0.01623686723973257,False
de,35.0,16.0,0.015281757402101241,False
jp,1.0,148.0,0.17939393939393938,True
jp,1.93069772888325,138.0,0.16727272727272727,True
jp,0.1,96.0,0.11636363636363636,True
jp,1000.0,56.0,0.06787878787878789,True
jp,70.0,42.0,0.05090909090909091,True
jp,40.0,42.0,0.05090909090909091,True
jp,7.196856730011519,40.0,0.048484848484848485,True
jp,13.894954943731374,39.0,0.04727272727272727,True
jp,3.72759372031494,38.0,0.04606060606060606,True
jp,51.7947467923121,37.0,0.044848484848484846,True
jp,5.0,21.0,0.025454545454545455,True
jp,26.826957952797247,21.0,0.025454545454545455,True
jp,15.0,20.0,0.024242424242424242,True
jp,35.0,20.0,0.024242424242424242,True
jp,22.0,18.0,0.02181818181818182,False
jp,0.0,18.0,0.02181818181818182,False
jp,220.0,16.0,0.019393939393939394,False
jp,100.0,15.0,0.01818181818181818,False
