variant,lambda,per_year_calendar,published
V3_frozen_initial,0.0,5.880952380952381,9.7
V3_frozen_initial,5.0,2.2142857142857144,2.7
V3_frozen_initial,15.0,1.3571428571428572,1.7
V3_frozen_initial,35.0,0.6904761904761905,0.8
V3_frozen_initial,70.0,0.5476190476190477,0.5
V3_frozen_initial,150.0,0.38095238095238093,0.4
