market,grid,candidates,cagr,volatility,sharpe,maximum_drawdown,calmar,expected_shortfall_5pct,turnover,leverage,shifts,dev_cagr,dev_volatility,dev_sharpe,dev_maximum_drawdown,dev_calmar,dev_expected_shortfall_5pct,dev_turnover,dev_leverage,within_tol
us,luo_mulvey_2026,1|11|21|31|41|51|61|71|81|91,0.11604785627169556,0.12667156670150964,0.7244948782701709,-0.19585459471708633,0.4685767082986683,-0.019625009860051456,0.5295971978984239,0.791009924109749,36,0.004047856271695557,0.004328433298490364,0.044494878270170846,0.07014540528291369,0.1385767082986683,0.00037499013994854447,0.08959719789842385,0.008990075890251026,5
de,luo_mulvey_2026,1|11|21|31|41|51|61|71|81|91,0.05940307639901832,0.155084145756995,0.2949351060231287,-0.4995046292930151,0.09157024037211518,-0.024593805611232762,0.7909788421297373,0.7621483375959079,54,0.026596923600981676,0.008915854243005006,0.14506489397687128,0.10550462929301507,0.08842975962788481,0.00040619438876723923,0.9090211578702626,0.07785166240409203,3
jp,luo_mulvey_2026,1|11|21|31|41|51|61|71|81|91,0.01562693402956694,0.15370572678613628,0.1346321263025954,-0.6126999982897159,0.03377465134628296,-0.02529868860320561,1.1940978886756237,0.5940499040307101,79,0.03137306597043306,0.01729427321386373,0.17536787369740459,0.15969999828971587,0.08622534865371703,0.0007013113967943886,0.47409788867562375,0.15595009596928988,3
