market,geometry,best_constant_lambda,constant_agreement,per_month_ceiling,months_below_bar,months_total
us,V0_expanding,35.0,0.9574915333411188,0.9873875978045078,13,408
us,V1_window,150.0,0.906224454046479,0.9813149597103819,22,408
us,V3_frozen,35.0,0.9556230293121569,0.9695200280275604,23,408
de,V0_expanding,26.826957952797247,0.895,0.98,24,408
de,V1_window,35.0,0.7270930232558139,0.8840697674418605,78,408
de,V3_frozen,5.0,0.9246511627906977,0.9656976744186047,37,408
jp,V0_expanding,150.0,0.8161553211888782,0.987895493767977,12,408
jp,V1_window,15.0,0.673777564717162,0.8551054650047939,95,408
jp,V3_frozen,150.0,0.8131591562799616,0.9592521572387345,36,408
