fit_date,training_start,training_end,observations,scaler_mean,scaler_scale,lambda,objective_180,centers,active_state_count,collapsed_to_one_state,objective_60,delta,changed
1981-09-24,1969-09-25,1981-09-24,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2546.7042574416737,"[[-0.8087054474386947, 0.8569988336554573, 0.9248473273201464], [0.028949799846142016, -0.4431453368013815, -0.42101119410959337]]",2,False,2546.7042574416737,0.0,False
1981-09-24,1969-09-25,1981-09-24,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2593.149097834769,"[[-0.8014564337022899, 0.871585382988582, 0.9534096727825055], [0.0001968549788943855, -0.4133262622736009, -0.39785994418316084]]",2,False,2593.149097834769,0.0,False
1981-09-24,1969-09-25,1981-09-24,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2709.010752016779,"[[-0.7994093337226208, 0.7604553344491489, 0.8699885051318474], [0.038571690810131495, -0.4046169615864502, -0.41047800923334304]]",2,False,2709.010752016779,0.0,False
1982-01-04,1970-01-06,1982-01-04,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2542.094563625814,"[[-0.819369691852366, 0.8598515547554964, 0.9277319903828323], [0.04445346034809454, -0.44959021560608364, -0.43010700266051455]]",2,False,2542.094563625814,0.0,False
1982-01-04,1970-01-06,1982-01-04,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2586.517152286652,"[[-0.819369691852366, 0.8598515547554964, 0.9277319903828323], [0.04445346034809454, -0.44959021560608364, -0.43010700266051455]]",2,False,2586.517152286652,0.0,False
1982-01-04,1970-01-06,1982-01-04,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2692.551191163594,"[[-0.8303949486859834, 0.7888032289484979, 0.8907358086897392], [0.054585005481914105, -0.4134060317527103, -0.4141265530652835]]",2,False,2692.551191163594,0.0,False
1982-07-01,1970-07-06,1982-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2438.0258448043332,"[[-0.8127149322976915, 0.8772382228824029, 0.9601258035779329], [-0.09936214740855592, -0.3727530419312816, -0.37324810744705106]]",2,False,2438.025844804333,4.547473508864641e-13,False
1982-07-01,1970-07-06,1982-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2476.102349370764,"[[-0.8127149322976915, 0.8772382228824029, 0.9601258035779329], [-0.09936214740855592, -0.3727530419312816, -0.37324810744705106]]",2,False,2476.102349370764,0.0,False
1982-07-01,1970-07-06,1982-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2589.2913836507637,"[[-0.8290454857218029, 0.7928942246372764, 0.8959226121906104], [-0.06690252142835759, -0.363857310439201, -0.37876260390323235]]",2,False,2589.291383650764,-4.547473508864641e-13,False
1983-01-03,1971-01-07,1983-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2484.694648219511,"[[-0.8043653016097148, 0.8783095400609476, 0.9551459421665055], [-0.08254212431076328, -0.3666692733645858, -0.3575509570299416]]",2,False,2484.694648219511,0.0,False
1983-01-03,1971-01-07,1983-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2522.5896701117204,"[[-0.8124842171685656, 0.8768413176374349, 0.9591001072673484], [-0.08595835073194819, -0.35251928395145515, -0.34556809071202477]]",2,False,2522.5896701117204,0.0,False
1983-01-03,1971-01-07,1983-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2624.7365629391516,"[[-0.828812728121593, 0.7925955594087684, 0.8950116404649425], [-0.053050127800165034, -0.3429675340064661, -0.3501944781843642]]",2,False,2624.736562939152,-4.547473508864641e-13,False
1983-07-01,1971-07-07,1983-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2651.7640034973388,"[[-0.7251692824063404, 0.8992860984031849, 1.0567679162112864], [-0.07254406673479714, -0.3809377709968235, -0.3865946961164252]]",2,False,2651.7640034973388,0.0,False
1983-07-01,1971-07-07,1983-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2687.088151642123,"[[-0.7115308649141271, 0.9121473682630462, 1.0727053976127687], [-0.0909469675406698, -0.36817030065898765, -0.3730468152629386]]",2,False,2687.088151642123,0.0,False
1983-07-01,1971-07-07,1983-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2797.0881516421227,"[[-0.7115308649141271, 0.9121473682630462, 1.0727053976127687], [-0.0909469675406698, -0.36817030065898765, -0.3730468152629386]]",2,False,2797.0881516421227,0.0,False
1984-01-02,1972-01-05,1984-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2616.8600789446955,"[[-0.6696044788123776, 0.8677232450223441, 1.1093372274994386], [-0.09207445183758857, -0.3603813019233197, -0.3770999070815144]]",2,False,2616.8600789446955,0.0,False
1984-01-02,1972-01-05,1984-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2648.5904994167217,"[[-0.6696044788123776, 0.8677232450223441, 1.1093372274994386], [-0.09207445183758857, -0.3603813019233197, -0.3770999070815144]]",2,False,2648.5904994167217,0.0,False
1984-01-02,1972-01-05,1984-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2748.5904994167204,"[[-0.6696044788123776, 0.8677232450223441, 1.1093372274994386], [-0.09207445183758857, -0.3603813019233197, -0.3770999070815144]]",2,False,2748.5904994167204,0.0,False
1984-07-02,1972-07-04,1984-07-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2614.2628706564838,"[[-0.7318586258996733, 0.8599196567800088, 1.1148114520551256], [-0.07269153900914595, -0.3632004385239535, -0.3484612056516114]]",2,False,2614.262870656484,-4.547473508864641e-13,False
1984-07-02,1972-07-04,1984-07-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2649.1663331757154,"[[-0.7318586258996733, 0.8599196567800088, 1.1148114520551256], [-0.07269153900914595, -0.3632004385239535, -0.3484612056516114]]",2,False,2649.1663331757154,0.0,False
1984-07-02,1972-07-04,1984-07-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2759.1663331757154,"[[-0.7318586258996733, 0.8599196567800088, 1.1148114520551256], [-0.07269153900914595, -0.3632004385239535, -0.3484612056516114]]",2,False,2759.1663331757154,0.0,False
1985-01-02,1973-01-02,1985-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",26.826957952797247,2598.806423556694,"[[-0.7473568019606186, 0.8737786197000463, 1.0946423733276527], [-0.055733314380658025, -0.36096591735871075, -0.366994663857293]]",2,False,2598.806423556694,0.0,False
1985-01-02,1973-01-02,1985-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",30.0,2633.7098860759215,"[[-0.7473568019606186, 0.8737786197000463, 1.0946423733276527], [-0.055733314380658025, -0.36096591735871075, -0.366994663857293]]",2,False,2633.709886075921,4.547473508864641e-13,False
1985-01-02,1973-01-02,1985-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",40.0,2743.7098860759224,"[[-0.7473568019606186, 0.8737786197000463, 1.0946423733276527], [-0.055733314380658025, -0.36096591735871075, -0.366994663857293]]",2,False,2743.7098860759224,0.0,False
