market,fit_date,training_start,training_end,observations,scaler_mean,scaler_scale,lambda,objective_180,centers,active_state_count,collapsed_to_one_state,objective_sealed,delta,changed
us,1982-01-04,1970-02-18,1982-01-04,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,1296.05622961306,"[[-0.37961963967735063, 0.25739252282701214, 0.23914376873849233], [1.3863932189648183, -0.6435188758492184, -0.42443122217604484]]",2,False,1296.0741743259366,-0.017944712876669655,True
us,1984-01-03,1972-02-16,1984-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.0,1387.07978367673,"[[-0.3207972060173081, 0.3199277840828698, 0.31688849231332084], [1.0925399212135103, -0.6407608671218737, -0.42379994932130294]]",2,False,1387.11192437195,-0.032140695220050475,True
us,2000-01-03,1988-02-22,2000-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.0,1247.1564968554972,"[[-0.5273229343616984, 0.8632223609088379, 0.8198356538359038], [0.290433480339128, -0.2834927222291316, -0.05042727138102598]]",2,False,1247.1586998877535,-0.0022030322563750815,True
us,2000-01-03,1988-02-22,2000-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,1263.7525073762936,"[[-0.5334871845435936, 0.8898827278383337, 0.841991371391569], [0.26960288967257057, -0.267151490327657, -0.03939895651409294]]",2,False,1263.7526949074108,-0.00018753111726255156,True
us,2004-01-02,1992-02-10,2004-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.0,1580.7635197238014,"[[-0.3492654211577552, 0.4862245496578592, 0.5558728676735751], [1.1332053141564857, -0.6087208559241379, -0.5422853477695734]]",2,False,1580.76451893657,-0.0009992127686473395,True
us,2004-07-01,1992-08-06,2004-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,1606.2992759760955,"[[-0.34721422734007956, 0.5194417941919611, 0.5869121593519713], [1.120974298178786, -0.6121300657600887, -0.5389211183521239]]",2,False,1606.2994654607903,-0.00018948469482893415,True
us,2005-01-03,1993-02-08,2005-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.0,1611.1644074742055,"[[-0.3435168682832539, 0.5360137695958784, 0.5960883458069037], [1.0820633385669551, -0.6079880344510309, -0.523764569099296]]",2,False,1611.1659018715,-0.0014943972944365669,True
us,2006-07-03,1994-08-05,2006-07-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.0,1590.2897473671808,"[[-0.3359567273494045, 0.547857200267349, 0.6002083906639292], [1.0611112938607334, -0.6127634507436021, -0.5160129408783783]]",2,False,1590.290783306402,-0.0010359392213104002,True
us,2007-01-03,1995-02-03,2007-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",20.0,1998.568652034573,"[[-0.2721337173567682, 0.42104553312914983, 0.5384422055754586], [1.2038065803617908, -0.5362977640699628, -0.5761625119404626]]",2,False,1998.577644987236,-0.008992952662993048,True
us,2009-07-01,1997-07-30,2009-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,2238.851212422883,"[[-0.014198279491925744, 0.15174723923269048, 0.16515617296833524], [2.1203167065662556, -0.796288752229836, -0.8266760695617406]]",2,False,2238.8591333406,-0.00792091771700143,True
us,2010-07-01,1998-07-30,2010-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.0,2189.1020895554693,"[[-0.038510225505693156, 0.18187315981806929, 0.1531820480926551], [2.0335846508018025, -0.793813150954928, -0.8145208697490083]]",2,False,2189.1022019866678,-0.00011243119843129534,True
de,1988-07-01,1976-06-29,1988-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",10.0,4306.885834461521,"[[-0.3197252966276656, 0.2582581428683088, 0.3537276314920958], [3.692940997894684, -0.7739047697490239, -0.4309737385435476]]",2,False,4309.014237488327,-2.1284030268061542,True
de,1990-07-02,1978-06-30,1990-07-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",100.0,4907.660996971325,"[[-0.06817465111754274, 0.3224303885956576, 0.43404517723194685], [4.796645912414426, -0.8320571226596649, -0.5826281369129807]]",2,False,4907.670144956862,-0.009147985536401393,True
de,1991-01-02,1978-12-27,1991-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",10.0,4309.016431140328,"[[-0.08377471607572767, 0.33252221385681263, 0.4307076564374105], [3.678869404083099, -0.9444673684160032, -0.7650821768890195]]",2,False,4309.025863412928,-0.00943227259995183,True
de,1992-01-02,1979-12-21,1992-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1.0,3957.326452511192,"[[-0.09177281226974267, 0.41801208760814074, 0.5025135159634541], [3.154986292450665, -0.8058371901629838, -0.6194194846811474]]",2,False,3957.32729312549,-0.0008406142978856224,True
de,1996-07-01,1984-07-04,1996-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,3610.258953906826,"[[-0.0888692714483969, 0.4379886150706151, 0.4639455963217335], [2.769195297168031, -0.8878649570297213, -0.7128772168226574]]",2,False,3610.271600868246,-0.012646961420159641,True
de,1997-01-02,1985-01-07,1997-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,3609.0281144994174,"[[-0.07415772269793805, 0.4254553619747197, 0.46555522325256543], [2.894734037774445, -0.8881135286479683, -0.7065053344572516]]",2,False,3609.038216639456,-0.010102140038725338,True
de,2000-07-03,1988-07-22,2000-07-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1.0,2675.182568341759,"[[-0.25024580791191353, 0.8050898623660772, 0.8121008192449446], [1.174479977764175, -0.5416801700468147, -0.3354158445547315]]",2,False,2675.5440689322813,-0.3615005905221551,True
de,2002-01-02,1990-01-19,2002-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,2574.8347589566893,"[[-0.1688165786268893, 0.7184561311111326, 0.7401703154252361], [1.2217157864988129, -0.6539521681795283, -0.5303552655536306]]",2,False,2574.835969331788,-0.0012103750987080275,True
de,2004-07-01,1992-08-07,2004-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,2776.4826591155897,"[[-0.03925651496379704, 0.6481443507313839, 0.6832467545172246], [1.6757955655524315, -0.7095636093738853, -0.6577295063476956]]",2,False,2776.504189734836,-0.021530619246277638,True
de,2005-07-01,1993-08-17,2005-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",21.544346900318832,3093.4561047253374,"[[0.16338820849107988, 0.2907823658167934, 0.43010628431976367], [2.7001920827983312, -0.7256789319165314, -0.8812193112654435]]",2,False,3093.4601683973688,-0.004063672031406895,True
de,2006-01-02,1994-02-18,2006-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,2623.0886822844423,"[[-0.1030941396454469, 0.6175930705884793, 0.6859339115267334], [1.7342616809126743, -0.6817100171621451, -0.5990287919929774]]",2,False,2623.125031545004,-0.036349260561564734,True
de,2008-01-02,1996-02-23,2008-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",21.544346900318832,3049.124289984925,"[[-0.13101607851774902, 0.6195156031624756, 0.82439251328037], [1.8107302248397477, -0.552914745175958, -0.55248455787734]]",2,False,3049.260535541689,-0.13624555676415184,True
de,2009-01-02,1997-03-03,2009-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1.0,2926.998642893448,"[[-0.06102487319237461, 0.6116271320442667, 0.7474342670544936], [1.965582374099556, -0.7328678428367889, -0.7179021027017203]]",2,False,2927.006455505933,-0.007812612484940473,True
de,2009-07-01,1997-09-02,2009-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1.0,2756.0071801689055,"[[-0.02915592877261707, 0.5212225182800734, 0.6108346948820959], [2.047019384205491, -0.7476937899475465, -0.7827238341686955]]",2,False,2756.015678549411,-0.008498380505443492,True
de,2010-07-01,1998-09-10,2010-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,2515.9069020130455,"[[0.019722864549566343, 0.3875084528844434, 0.45428059589348035], [2.198082366778557, -0.7999895931825513, -0.898011732909701]]",2,False,2515.908350543113,-0.0014485300675914914,True
de,2011-01-03,1999-03-17,2011-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,2401.6845727486198,"[[-0.0916274288704693, 0.49193616777982724, 0.5409957833869449], [1.8636163671173305, -0.7750699274996845, -0.8260765600339078]]",2,False,2401.6855894296,-0.001016680980228557,True
de,2012-01-02,2000-03-21,2012-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",21.544346900318832,2660.0602879634407,"[[0.04883354826027316, 0.1984546706193706, 0.3214308894966834], [2.602980982177587, -0.833425578672594, -1.1188390932456733]]",2,False,2660.0706369405443,-0.01034897710360383,True
de,2017-07-03,2005-09-13,2017-07-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",21.544346900318832,2367.977576663511,"[[-0.26213092958183337, 0.48398103100696616, 0.6298692812968111], [1.3289526248896433, -0.6141462348538094, -0.6950576078596231]]",2,False,2367.9820995373584,-0.004522873847236042,True
de,2018-01-02,2006-03-09,2018-01-02,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,1806.5795745763303,"[[-0.3625000998484434, 0.5917754775520054, 0.6512076499321021], [1.2103657841870226, -0.6980270754608119, -0.5939947835530502]]",2,False,1806.5798314165652,-0.0002568402348970267,True
de,2019-07-01,2007-08-30,2019-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",10.0,2205.468604567608,"[[-0.21261821318080104, 0.32902269317505706, 0.38356162130116883], [1.454501452638159, -0.8563700691120115, -0.9413346128100408]]",2,False,2205.4695224444417,-0.000917876833682385,True
de,2022-01-03,2010-03-05,2022-01-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0.1,1684.8774146623668,"[[-0.4363531514603931, 0.5983619522908011, 0.6019629809520524], [0.8351844097328064, -0.6533639085640806, -0.48803499683968743]]",2,False,1684.8792828491405,-0.001868186773663183,True
jp,1983-07-01,1971-04-30,1983-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1.93069772888325,1380.6954774528574,"[[-0.6667041166608669, 0.3756639070411317, 0.30879921470519], [0.1653456933846076, -0.764009485957155, -0.651986581929827]]",2,False,1380.696975011687,-0.0014975588296692877,True
jp,1994-07-01,1982-05-14,1994-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1.93069772888325,2840.798252332406,"[[-0.27996818366114185, 0.40642246644177354, 0.49034227926556456], [1.6730690648948947, -0.8873208985439279, -1.0604612571115863]]",2,False,2840.8002623340703,-0.0020100016645301366,True
jp,1995-01-04,1982-11-11,1995-01-04,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",20.0,3099.4545077284824,"[[-0.2510230292394064, 0.33870101676145575, 0.47194587794396264], [1.7534194835263037, -0.8370960148757086, -1.0741384220418404]]",2,False,3099.756854861474,-0.3023471329915992,True
jp,1998-01-05,1985-11-08,1998-01-05,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1.93069772888325,2725.3567091963455,"[[-0.09524671309678039, 0.27300025058809385, 0.28812518445846586], [1.8183434054539445, -0.9689289859056391, -1.1696310213575498]]",2,False,2725.356880434193,-0.00017123784755312954,True
jp,2000-07-03,1988-05-10,2000-07-03,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",1.93069772888325,1621.4333333705756,"[[0.02060201405818511, 0.06976015282332439, 0.030231609375805414], [1.7053633140008997, -0.9743467857857531, -1.2246676272382186]]",2,False,1621.4550025106894,-0.0216691401137723,True
jp,2011-01-04,1998-10-12,2011-01-04,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",220.0,3520.5752243736383,"[[0.5394177661055675, -0.16756052899667187, -0.2337654190504985], [6.234223706074429, -0.9913501751277687, -1.377106330805567]]",2,False,3520.6402229042287,-0.06499853059040106,True
jp,2015-07-01,2003-04-09,2015-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",25.0,3226.8617943923714,"[[0.14785434787712834, 0.12110543798027125, 0.16055058203196096], [3.4039664025854304, -0.8796584724154315, -1.0411766453346771]]",2,False,3226.8627218026454,-0.000927410274016438,True
jp,2017-01-04,2004-10-05,2017-01-04,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",220.0,3877.850144782697,"[[0.3013777641332097, 0.018120508575450642, 0.04271002763480786], [5.132205571731734, -0.878676598255122, -1.2659308545979056]]",2,False,3878.063424030408,-0.2132792477109433,True
jp,2020-07-01,2008-03-26,2020-07-01,3000,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",25.0,3229.530623518645,"[[0.10733464864507444, 0.08098980881555232, 0.07313365874382521], [3.287626314241256, -0.9242128815088235, -1.0021032395846152]]",2,False,3231.310384201548,-1.7797606829030883,True
