block,date,b0,b1,lam0,val_sharpe
0,2005-01-03,6.396929655216146,-1.0,600.0,0.26885736257740606
1,2005-07-05,2.302585092994046,1.0,10.000000000000002,0.19440627102147007
2,2006-01-03,4.605170185988092,-1.0,100.00000000000004,0.604873912607178
3,2006-07-05,4.605170185988092,-0.25,100.00000000000004,0.5854753987718745
4,2007-01-04,4.605170185988092,-0.5,100.00000000000004,0.8008505209812409
5,2007-07-06,4.605170185988092,-0.5,100.00000000000004,0.9058585374377108
6,2008-01-04,3.912023005428146,-0.25,49.99999999999999,0.7832439764273903
7,2008-07-07,3.912023005428146,-0.25,49.99999999999999,0.7581537850253549
8,2009-01-05,3.912023005428146,-1.0,49.99999999999999,0.59527262870337
9,2009-07-07,5.521460917862246,1.0,249.9999999999999,0.5937460484687997
10,2010-01-05,4.31748811353631,-1.0,74.99999999999997,0.7274381948693105
11,2010-07-07,4.605170185988092,-1.0,100.00000000000004,0.6912918132445506
12,2011-01-04,3.5553480614894135,-1.0,34.99999999999999,0.7166138248566926
13,2011-07-06,3.5553480614894135,-1.0,34.99999999999999,0.7886014468559185
14,2012-01-04,3.5553480614894135,-1.0,34.99999999999999,0.42864660715474645
15,2012-07-05,3.5553480614894135,-1.0,34.99999999999999,0.3535858527582642
16,2013-01-07,3.912023005428146,-1.0,49.99999999999999,0.6181886956412749
17,2013-07-09,3.5553480614894135,-1.0,34.99999999999999,0.7885688742832591
18,2014-01-07,6.907755278982137,-0.25,999.9999999999998,0.9927703205968936
19,2014-07-09,6.907755278982137,0.0,999.9999999999998,1.062822090998397
20,2015-01-07,2.995732273553991,-1.0,19.999999999999996,0.8472520583166389
21,2015-07-09,2.995732273553991,-1.0,19.999999999999996,0.9465702926061017
22,2016-01-07,6.907755278982137,0.0,999.9999999999998,0.6505347850683026
23,2016-07-08,6.907755278982137,0.0,999.9999999999998,0.6348258434102032
24,2017-01-06,6.907755278982137,0.0,999.9999999999998,0.9541842223282665
25,2017-07-10,6.907755278982137,0.0,999.9999999999998,1.0058182100375064
26,2018-01-08,4.31748811353631,1.0,74.99999999999997,1.1474838290253513
27,2018-07-10,6.907755278982137,0.0,999.9999999999998,0.9036393515114371
28,2019-01-09,4.31748811353631,1.0,74.99999999999997,0.6275681286859119
29,2019-07-11,4.31748811353631,0.5,74.99999999999997,0.7147824190567827
30,2020-01-09,6.907755278982137,0.0,999.9999999999998,0.7473991454933074
31,2020-07-10,6.907755278982137,0.0,999.9999999999998,0.5274726397059449
32,2021-01-08,3.912023005428146,-1.0,49.99999999999999,0.9683909550272055
33,2021-07-12,4.31748811353631,-1.0,74.99999999999997,1.1044582215406678
34,2022-01-07,4.31748811353631,-1.0,74.99999999999997,1.1080976610911308
35,2022-07-12,2.995732273553991,-0.25,19.999999999999996,0.9192131667297999
36,2023-01-10,2.995732273553991,1.0,19.999999999999996,0.6625591011444876
37,2023-07-13,4.31748811353631,-1.0,74.99999999999997,0.786195335186069
38,2024-01-11,3.912023005428146,-0.25,49.99999999999999,1.0073399605172653
39,2024-07-15,5.521460917862246,-1.0,249.9999999999999,1.0231598044997772
