block,date,b0,b1,lam0,val_sharpe
0,2005-01-03,4.31748811353631,-0.25,74.99999999999997,0.29739165266789125
1,2005-06-30,4.605170185988092,-1.0,100.00000000000004,0.3653481913884703
2,2005-12-23,5.0106352940962555,-0.5,149.99999999999997,0.6529737074084008
3,2006-06-23,6.907755278982137,-1.0,999.9999999999998,0.7930692363483856
4,2006-12-18,5.991464547107982,0.25,399.9999999999999,1.1111592596420934
5,2007-06-21,5.991464547107982,-0.5,399.9999999999999,1.3742873150806567
6,2007-12-14,4.605170185988092,-1.0,100.00000000000004,1.2308753572128368
7,2008-06-19,5.991464547107982,-1.0,399.9999999999999,1.0281991181778842
8,2008-12-12,5.991464547107982,-1.0,399.9999999999999,0.8587633651109796
9,2009-06-18,5.521460917862246,-0.5,249.9999999999999,0.9575446996161461
10,2009-12-11,4.31748811353631,-0.25,74.99999999999997,0.8358443924503502
11,2010-06-15,4.31748811353631,-0.5,74.99999999999997,0.8229913254116731
12,2010-12-08,5.0106352940962555,-0.5,149.99999999999997,0.7328258134266106
13,2011-06-08,4.605170185988092,-1.0,100.00000000000004,0.6869733202520332
14,2011-12-02,3.912023005428146,-0.25,49.99999999999999,0.2843061734197056
15,2012-06-01,6.907755278982137,0.0,999.9999999999998,-0.038041113591612205
16,2012-11-27,2.995732273553991,1.0,19.999999999999996,0.24243671053791177
17,2013-06-03,4.605170185988092,-0.5,100.00000000000004,0.44033304320057803
18,2013-11-27,5.991464547107982,-0.25,399.9999999999999,0.8126287090959178
19,2014-06-03,6.907755278982137,0.0,999.9999999999998,0.800915103738317
20,2014-11-27,6.907755278982137,0.0,999.9999999999998,0.6351747602929941
21,2015-06-04,6.907755278982137,0.0,999.9999999999998,0.7104192134076555
22,2015-11-27,6.907755278982137,0.0,999.9999999999998,0.5676914716841948
23,2016-06-01,6.907755278982137,0.0,999.9999999999998,0.4389178678557645
24,2016-11-25,5.0106352940962555,-1.0,149.99999999999997,0.6824639359704012
25,2017-05-26,6.907755278982137,0.0,999.9999999999998,0.900376629236919
26,2017-11-23,5.521460917862246,-1.0,249.9999999999999,0.8269405226390687
27,2018-05-29,4.605170185988092,0.25,100.00000000000004,0.6477298398749701
28,2018-11-22,5.0106352940962555,0.0,149.99999999999997,0.2956645852107978
29,2019-05-29,6.907755278982137,0.0,999.9999999999998,0.30265449764064517
30,2019-11-25,6.396929655216146,-0.5,600.0,0.719747257620289
31,2020-05-29,6.396929655216146,1.0,600.0,0.24351815742027047
32,2020-11-24,6.907755278982137,0.0,999.9999999999998,0.24113430662466032
33,2021-05-28,6.907755278982137,0.0,999.9999999999998,0.5170698091229948
34,2021-11-22,6.907755278982137,0.0,999.9999999999998,0.5394486449670249
35,2022-05-23,6.907755278982137,0.0,999.9999999999998,0.20122624880511922
36,2022-11-15,6.907755278982137,0.0,999.9999999999998,0.1920259574331924
37,2023-05-16,6.907755278982137,0.0,999.9999999999998,0.31175089495415165
38,2023-11-08,5.991464547107982,1.0,399.9999999999999,0.45875072232096314
39,2024-05-10,6.907755278982137,0.0,999.9999999999998,0.5367210949025213
