block,date,b0,b1,lam0,val_sharpe
0,2005-01-03,6.396929655216146,-1.0,600.0,0.26885736257740606
1,2005-07-05,2.302585092994046,1.0,10.000000000000002,0.19440627102147007
2,2006-01-03,4.605170185988092,-1.0,100.00000000000004,0.604873912607178
3,2006-07-05,4.605170185988092,0.0,100.00000000000004,0.5342503730649889
4,2007-01-04,4.605170185988092,0.0,100.00000000000004,0.7574262724794624
5,2007-07-06,4.605170185988092,-0.5,100.00000000000004,0.9058585374377108
6,2008-01-04,3.912023005428146,0.0,49.99999999999999,0.7387849083468456
7,2008-07-07,3.912023005428146,0.0,49.99999999999999,0.7259692096019311
8,2009-01-05,4.605170185988092,0.0,100.00000000000004,0.5604952320790142
9,2009-07-07,3.912023005428146,0.0,49.99999999999999,0.5087745324337324
10,2010-01-05,4.31748811353631,-1.0,74.99999999999997,0.7274381948693105
11,2010-07-07,4.605170185988092,-1.0,100.00000000000004,0.6912918132445506
12,2011-01-04,3.5553480614894135,-1.0,34.99999999999999,0.7166138248566926
13,2011-07-06,3.5553480614894135,-1.0,34.99999999999999,0.7886014468559185
14,2012-01-04,3.5553480614894135,-1.0,34.99999999999999,0.42864660715474645
15,2012-07-05,3.5553480614894135,-1.0,34.99999999999999,0.3535858527582642
16,2013-01-07,3.912023005428146,-1.0,49.99999999999999,0.6181886956412749
17,2013-07-09,3.5553480614894135,-1.0,34.99999999999999,0.7885688742832591
18,2014-01-07,6.396929655216146,0.0,600.0,0.8944383619218161
19,2014-07-09,6.907755278982137,0.0,999.9999999999998,1.062822090998397
20,2015-01-07,6.907755278982137,0.0,999.9999999999998,0.7864525786959187
21,2015-07-09,6.907755278982137,0.0,999.9999999999998,0.9339753206596284
22,2016-01-07,6.907755278982137,0.0,999.9999999999998,0.6505347850683026
23,2016-07-08,6.907755278982137,0.0,999.9999999999998,0.6348258434102032
24,2017-01-06,6.907755278982137,0.0,999.9999999999998,0.9541842223282665
25,2017-07-10,6.907755278982137,0.0,999.9999999999998,1.0058182100375064
26,2018-01-08,6.907755278982137,0.0,999.9999999999998,1.1257824134925742
27,2018-07-10,6.907755278982137,0.0,999.9999999999998,0.9036393515114371
28,2019-01-09,6.907755278982137,0.0,999.9999999999998,0.5705144496986267
29,2019-07-11,6.907755278982137,0.0,999.9999999999998,0.6946733856269196
30,2020-01-09,6.907755278982137,0.0,999.9999999999998,0.7473991454933074
31,2020-07-10,6.907755278982137,0.0,999.9999999999998,0.5274726397059449
32,2021-01-08,3.912023005428146,-1.0,49.99999999999999,0.9683909550272055
33,2021-07-12,2.995732273553991,0.0,19.999999999999996,1.0125677216178732
34,2022-01-07,2.302585092994046,0.0,10.000000000000002,1.0134786413799115
35,2022-07-12,2.995732273553991,0.0,19.999999999999996,0.8200198018863404
36,2023-01-10,2.995732273553991,1.0,19.999999999999996,0.6625591011444876
37,2023-07-13,4.31748811353631,-1.0,74.99999999999997,0.786195335186069
38,2024-01-11,3.912023005428146,-0.25,49.99999999999999,1.0073399605172653
39,2024-07-15,5.521460917862246,-1.0,249.9999999999999,1.0231598044997772
