Market,Model,CAGR,Vol,Sharpe,MDD,Calmar,Turn_yr,Trades,Expo
S&P 500,JM adaptive,7.3,13.5,0.59,-33.9,0.22,147.1,29,77.4
DAX,JM adaptive,5.4,16.7,0.4,-41.7,0.13,85.4,17,84.1
Nikkei 225,JM adaptive,6.5,17.7,0.45,-48.3,0.14,109.5,21,72.3
