market,model,path,shu,A_total,B_excess,C_cumexc,D_flat,E_flat_cost,err_A_total,err_B_excess,err_C_cumexc,err_D_flat,err_E_flat_cost
us,buy_and_hold,đối chứng,0.16,0.15869487143558816,0.14675753797859878,0.12120617335854265,0.15869487143558816,0.15869487143558816,0.0013051285644118393,0.013242462021401225,0.03879382664145735,0.0013051285644118393,0.0013051285644118393
de,buy_and_hold,đối chứng,0.09,0.0906082475633683,0.0871820067236761,0.052769559037325955,0.0906082475633683,0.0906082475633683,0.0006082475633683027,0.002817993276323899,0.03723044096267404,0.0006082475633683027,0.0006082475633683027
jp,buy_and_hold,đối chứng,0.04,0.039169023555301094,0.03711639563335072,0.02310316649711149,0.039169023555301094,0.039169023555301094,0.0008309764446989068,0.0028836043666492783,0.016896833502888512,0.0008309764446989068,0.0008309764446989068
us,hmm,đường của ta,0.21,0.2666183232116093,0.19225026774850335,0.16688627983867385,0.21168675022378086,0.20669779922187648,0.056618323211609284,0.017749732251496647,0.04311372016132614,0.0016867502237808696,0.003302200778123515
de,hmm,đường của ta,0.12,0.1281751804791395,0.10877874965672153,0.08407301925477319,0.11749934252514699,0.11515590757989039,0.00817518047913951,0.011221250343278463,0.03592698074522681,0.0025006574748530075,0.004844092420109608
jp,hmm,đường của ta,0.06,0.05122515001947868,0.046502759902496874,0.03515672274897378,0.05195202201794962,0.04969145026748874,0.008774849980521318,0.013497240097503124,0.024843277251026218,0.008047977982050376,0.01030854973251126
us,hmm,Shu (hình),0.21,0.28051201774999884,0.18640280591067612,0.16142604131798408,0.2194732753645607,0.20858134720680152,0.07051201774999885,0.02359719408932387,0.048573958682015916,0.009473275364560718,0.0014186527931984716
us,fixed_jm,Shu (hình),0.33,0.3308564843360717,0.33024210044075614,0.29874552870539234,0.3308564843360717,0.33085648433607195,0.0008564843360716612,0.00024210044075612114,0.03125447129460768,0.0008564843360716612,0.0008564843360719387
de,fixed_jm,Shu (hình),0.18,0.1900300641644565,0.16140430931399113,0.12966300521793003,0.17543101865010607,0.1739465435451189,0.01003006416445651,0.01859569068600886,0.05033699478206996,0.004568981349893919,0.00605345645488109
jp,fixed_jm,Shu (hình),0.12,0.14334206319926682,0.11229665078901065,0.0903259798476012,0.12716029206674434,0.12353659460508669,0.02334206319926682,0.007703349210989349,0.029674020152398797,0.007160292066744345,0.003536594605086693
