market,window_start,window_end,in_window_days,n_episodes,episode_days,episode_day_fraction,identical_day_fraction,n_positive,n_negative,n_zero,delta_mean,delta_median,delta_min,delta_max,delta_std,net_total,positive_total,negative_total,total_in_window_difference,exhaustiveness_residual,residual_minus_settlement_sum,exhaustiveness_pass_1e12,settlement_identity_pass_1e12,gross_total,cost_total_in_episodes,length_max_days,length_all_one_day,actual_top1_share,actual_top3_share,actual_top5_share,closed_net_total,closed_residual_vs_total,closed_n_positive,closed_n_negative,closed_mean,closed_median,closed_std,closed_min,closed_max,closed_positive_total,closed_negative_total,closed_top1_share,closed_top3_share,closed_top5_share,closed_top1_sum,closed_top3_sum,closed_top5_sum,closed_sign_test_p_two_sided,net_top1_share,net_top3_share,net_top5_share,net_top1_sum,net_top3_sum,net_top5_sum,positive_top1_share,positive_top3_share,positive_top5_share,negative_top1_share,negative_top3_share,negative_top5_share,sign_test_positive,sign_test_n,sign_test_p_two_sided,padded_n_episodes,padded_days,padded_day_fraction,padded_n_positive,padded_n_negative,padded_net_total,padded_residual,padded_top1_share,padded_top3_share,padded_top5_share,n_episodes_dotcom,delta_sum_dotcom,closed_sum_dotcom,n_episodes_gfc,delta_sum_gfc,closed_sum_gfc,n_episodes_covid,delta_sum_covid,closed_sum_covid,n_episodes_inflation_shock,delta_sum_inflation_shock,closed_sum_inflation_shock,n_episodes_crisis,delta_sum_crisis,closed_sum_crisis,n_episodes_normal,delta_sum_normal,closed_sum_normal,n_episodes_bear_cash,n_win_bear_cash,n_loss_bear_cash,delta_sum_bear_cash,closed_n_win_bear_cash,closed_n_loss_bear_cash,closed_sum_bear_cash,n_episodes_bull_equity,n_win_bull_equity,n_loss_bull_equity,delta_sum_bull_equity,closed_n_win_bull_equity,closed_n_loss_bull_equity,closed_sum_bull_equity
us,1990-01-02,2023-12-29,8565,27,27,0.0031523642732049035,0.9968476357267951,17,10,0,0.0019178630159910975,0.0013442392622479,-0.0421945856789331,0.04747630557656095,0.01648781338780841,0.05178230143175963,0.18058294133742814,-0.12880063990566848,0.026782301431759623,-0.02500000000000001,-3.469446951953614e-18,False,True,0.024782301431759635,0.027000000000000003,1,True,1.7726746036941199,1.165607817301929,2.6707650571791106,0.02678230143175962,3.469446951953614e-18,14,13,0.000991937090065171,0.0003442392622478999,0.016538332647007964,-0.0431945856789331,0.04647630557656095,0.1676743264983456,-0.140892025066586,1.7353365129946345,1.0535935452034728,2.484074603681684,0.04647630557656095,0.028217659914195663,0.06652923481478167,1.0,0.9168442549647342,0.6028635084003613,1.3813452248553528,0.04747630557656095,0.031217659914195665,0.07152923481478167,0.26290581615817815,0.5305798950417159,0.695102684807388,0.32759608733183104,0.5611364780877368,0.784239750587037,17,27,0.24778856337070465,22,266,0.031056625802685346,11,11,0.02678230143175962,3.469446951953614e-18,1.7353365129946345,1.0535935452034728,1.212480753238542,5,0.024188983692175002,0.021188983692174996,2,-0.0013761767519305012,-0.003376176751930502,1,-0.0421945856789331,-0.0431945856789331,3,0.017669195346515558,0.014669195346515559,11,-0.001712583392173039,-0.010712583392173038,16,0.05349488482393268,0.03749488482393267,13,7,6,0.006189539720338215,6,7,-0.006810460279661784,14,10,4,0.045592761711421424,8,6,0.033592761711421434
de,1990-01-02,2023-12-29,8602,55,55,0.00639386189258312,0.9936061381074168,30,25,0,0.00335872285001905,0.0014603283401461,-0.04601101649817956,0.0635877967634743,0.019571941363981427,0.18472975675104775,0.46895053431637646,-0.28422077756532865,0.13172975675104776,-0.05299999999999999,2.0816681711721685e-17,False,True,0.12972975675104775,0.05500000000000001,1,True,0.48271399212895405,0.5900247169527361,0.6855050840469122,0.13172975675104773,2.7755575615628914e-17,28,27,0.002395086486382686,0.00046032834014609995,0.01956133866114001,-0.04701101649817956,0.0625877967634743,0.4402401847351574,-0.30851042798410955,0.4751226929064871,0.5672508192853352,0.6475485879345773,0.0625877967634743,0.07472381244128973,0.0853014179731063,1.0,0.34422064902715593,0.42074332694561345,0.4888298429083171,0.0635877967634743,0.07772381244128973,0.0903014179731063,0.13559595759107276,0.35845665791345854,0.4820885688477554,0.1618847745485597,0.3585680405527261,0.5118871944966198,30,55,0.5900533317766354,47,566,0.06579865147640084,28,19,0.13172975675104776,0.0,0.475122692906487,0.5672508192853349,0.5560927077096146,5,0.01001644997136,0.005016449971359999,3,0.08556869443254199,0.082568694432542,1,0.003755532666079504,0.002755532666079504,0,0.0,0.0,9,0.09934067706998151,0.0903406770699815,46,0.08538907968106624,0.041389079681066226,28,15,13,0.08209608172560426,14,14,0.056096081725604235,27,15,12,0.10263367502544356,14,13,0.07563367502544352
jp,1990-01-19,2023-12-29,8336,49,49,0.005878119001919386,0.9941218809980806,29,20,0,0.0020109038860742726,0.0013443995537261002,-0.032141953294257265,0.03459980396664806,0.012570651001764362,0.09853429041763936,0.2852483983651404,-0.18671410794750104,0.05153429041763932,-0.04700000000000004,-4.163336342344337e-17,False,True,0.049534290417639355,0.049,1,True,0.6713938173252721,-0.4399378778647819,0.42989269860466417,0.05153429041763932,0.0,27,22,0.0010517202126048841,0.00034439955372610014,0.012582694996498327,-0.033141953294257266,0.03359980396664806,0.259048643396863,-0.2075143529792237,0.6519892617973723,-0.49815154444848153,0.33286992096516477,0.03359980396664806,-0.02567188636360361,0.01715421517831545,0.5681724128491652,0.35114480268743165,-0.23009133437210955,0.2248376182993191,0.03459980396664806,-0.022671886363603608,0.022154215178315454,0.1212971016312512,0.2784447028056428,0.4207036802351619,0.1721452848292252,0.3982860052897522,0.546984680106901,29,49,0.2528697301676033,45,520,0.06238003838771593,26,19,0.051534290417639336,-1.3877787807814457e-17,0.6519892617973722,-0.49815154444848136,0.2953738015188218,7,0.017644188297271574,0.010644188297271567,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,0.017644188297271574,0.010644188297271567,42,0.08089010212036778,0.040890102120367755,25,13,12,-0.025511150290454733,12,13,-0.048511150290454746,24,16,8,0.12404544070809406,15,9,0.10004544070809407
