market,episode,start_date,end_date,length_days,delta_r,abs_delta_r,gross_delta_r,cost_delta_r,closed_delta_r,sign,jm_position_at_start,jm_state_at_start,jm_regime_at_start,c2d_position_at_start,period,settlement_date,settlement_delta_r
jp,31,2000-04-19,2000-04-19,1,0.007207557103494873,0.007207557103494873,0.006207557103494873,0.001,0.006207557103494873,positive,0.0,1.0,bear_cash,1.0,dotcom,2000-04-20,-0.001
jp,32,2000-07-04,2000-07-04,1,0.009169437469595153,0.009169437469595153,0.008169437469595154,0.001,0.008169437469595153,positive,1.0,0.0,bull_equity,0.0,dotcom,2000-07-05,-0.001
jp,33,2000-07-31,2000-07-31,1,-0.005978709924790754,0.005978709924790754,-0.006978709924790754,0.001,-0.006978709924790754,negative,0.0,1.0,bear_cash,1.0,dotcom,2000-08-01,-0.001
jp,34,2000-08-29,2000-08-29,1,0.0032588758431073934,0.0032588758431073934,0.0022588758431073934,0.001,0.0022588758431073925,positive,1.0,0.0,bull_equity,0.0,dotcom,2000-08-30,-0.0010000000000000009
jp,35,2000-09-27,2000-09-27,1,-0.017093925855398096,0.017093925855398096,-0.018093925855398096,0.001,-0.018093925855398096,negative,0.0,1.0,bear_cash,1.0,dotcom,2000-09-28,-0.001
jp,36,2002-03-13,2002-03-13,1,0.01749237730634933,0.01749237730634933,0.01649237730634933,0.001,0.01649237730634933,positive,1.0,0.0,bull_equity,0.0,dotcom,2002-03-14,-0.0010000000000000009
jp,37,2002-07-02,2002-07-02,1,0.00358857635491367,0.00358857635491367,0.00258857635491367,0.001,0.00258857635491367,positive,0.0,1.0,bear_cash,1.0,dotcom,2002-07-03,-0.001
jp,38,2003-06-10,2003-06-10,1,0.0047627591638607905,0.0047627591638607905,0.0037627591638607905,0.001,0.0037627591638607913,positive,1.0,0.0,bull_equity,0.0,normal,2003-06-11,-0.0009999999999999992
jp,39,2006-06-22,2006-06-22,1,0.03459980396664806,0.03459980396664806,0.03359980396664806,0.001,0.03359980396664806,positive,0.0,1.0,bear_cash,1.0,normal,2006-06-23,-0.001
jp,40,2006-09-06,2006-09-06,1,0.007189592584111284,0.007189592584111284,0.006189592584111284,0.001,0.0061895925841112835,positive,1.0,0.0,bull_equity,0.0,normal,2006-09-07,-0.0010000000000000009
jp,41,2007-08-22,2007-08-22,1,0.0009801735337556686,0.0009801735337556686,-1.9826466244331398e-05,0.001,-1.982646624433147e-05,positive,0.0,1.0,bear_cash,1.0,normal,2007-08-23,-0.001
jp,42,2009-06-09,2009-06-09,1,0.008908295489213198,0.008908295489213198,0.007908295489213199,0.001,0.007908295489213197,positive,1.0,0.0,bull_equity,0.0,normal,2009-06-10,-0.0010000000000000009
jp,43,2010-06-02,2010-06-02,1,-0.01011074683238924,0.01011074683238924,-0.011110746832389239,0.001,-0.011110746832389239,negative,0.0,1.0,bear_cash,1.0,normal,2010-06-03,-0.001
jp,44,2010-11-22,2010-11-22,1,-0.00833166314951372,0.00833166314951372,-0.00933166314951372,0.001,-0.00933166314951372,negative,1.0,0.0,bull_equity,0.0,normal,2010-11-24,-0.0009999999999999992
jp,45,2011-03-23,2011-03-23,1,-0.015457536875349514,0.015457536875349514,-0.016457536875349513,0.001,-0.016457536875349513,negative,0.0,1.0,bear_cash,1.0,normal,2011-03-24,-0.001
jp,46,2011-07-14,2011-07-14,1,0.003635605183710984,0.003635605183710984,0.002635605183710984,0.001,0.002635605183710984,positive,1.0,0.0,bull_equity,0.0,normal,2011-07-15,-0.001
jp,47,2011-08-25,2011-08-25,1,0.016443555405500205,0.016443555405500205,0.015443555405500206,0.001,0.015443555405500204,positive,0.0,1.0,bear_cash,1.0,normal,2011-08-26,-0.001
jp,48,2012-02-23,2012-02-23,1,-0.003347043963289146,0.003347043963289146,-0.0043470439632891465,0.001,-0.0043470439632891465,negative,1.0,0.0,bull_equity,0.0,normal,2012-02-24,-0.001
jp,49,2016-03-01,2016-03-01,1,0.004666673250275333,0.004666673250275333,0.003666673250275333,0.001,0.005666673250275334,positive,0.0,1.0,bear_cash,1.0,normal,2016-03-02,0.0010000000000000009
