symbol,model,state,count,fraction,mean_return,return_volatility,average_duration,min_duration,max_duration
IBM,HMM,0,904219,0.8586748841449517,9.211303508605706e-07,0.0003615624287539719,36.73297855053624,1,3323
IBM,HMM,1,148821,0.14132511585504823,2.0334436951902954e-06,0.0012116187451772097,6.04545639192428,1,863
IBM,Fixed JM,0,986448,0.936762136291119,2.9966598484003103e-07,0.00042209091648087466,98.5757969421405,1,7746
IBM,Fixed JM,1,66592,0.06323786370888096,1.261289310237311e-05,0.0015545299156209693,6.654541820725492,1,3960
IBM,Adaptive JM,0,987430,0.937694674466307,2.300892408481596e-07,0.00042099540841219584,92.12819555887292,1,7746
IBM,Adaptive JM,1,65610,0.062305325533692925,1.3844317478982033e-05,0.0015696933773858624,6.121477887665609,1,3924
OIH,HMM,0,593095,0.7198060597234106,-9.428652084912928e-08,0.0005695063225942781,21.1653343801299,1,1821
OIH,HMM,1,230870,0.2801939402765894,-6.724084944928881e-07,0.0016076385860157073,8.238589729864755,1,638
OIH,Fixed JM,0,709325,0.8608678766695187,-4.170378212065113e-07,0.0006749502983817776,41.4931266452179,1,3311
OIH,Fixed JM,1,114640,0.13913212333048128,7.384467840258297e-07,0.002015964243158131,6.706446706446706,1,1038
OIH,Adaptive JM,0,711515,0.8635257565551935,-4.5222786430976593e-07,0.0006713844464253722,37.82039015574337,1,3311
OIH,Adaptive JM,1,112450,0.13647424344480652,9.836113443110344e-07,0.002040775967733149,5.977567510099936,1,1034
IVE,HMM,0,505067,0.9660825671051398,4.0383401038409643e-07,0.0003238079183946668,50.898619369142395,1,5119
IVE,HMM,1,17732,0.03391743289486017,6.249123421453991e-06,0.0019108669886442426,1.787139689578714,1,37
IVE,Fixed JM,0,389315,0.7446743394688973,1.5081800217889302e-06,0.00033993681564731335,19.471591477443233,1,558
IVE,Fixed JM,1,133484,0.2553256605311028,-2.040577271814379e-06,0.000738054840857487,6.6762028608582575,1,1095
IVE,Adaptive JM,0,385198,0.7367994200447974,1.5966764085812743e-06,0.00033770915121872846,17.024573499513835,1,430
IVE,Adaptive JM,1,137601,0.2632005799552027,-2.1821343638549354e-06,0.000732194424418028,6.081543357199682,1,1065
WDC,HMM,0,365846,0.6038806586060331,2.7634240693909824e-06,0.0005692360699479216,16.108048608665023,1,368
WDC,HMM,1,239979,0.39611934139396693,-2.9032563839546414e-06,0.0017341088378540683,10.565711266675471,1,1202
WDC,Fixed JM,0,424931,0.7014088226798167,1.2394970803012745e-06,0.0006583617600803594,29.517296471242013,1,1085
WDC,Fixed JM,1,180894,0.2985911773201832,-1.1743543484258085e-06,0.001904343284744582,12.565573770491802,1,4076
WDC,Adaptive JM,0,425875,0.7029670284323031,1.1240356421549582e-06,0.0006529443920737645,26.986566123819784,1,1085
WDC,Adaptive JM,1,179950,0.2970329715676969,-9.137627161843862e-07,0.0019131354923734981,11.40295291806603,1,4076
