symbol,n_obs,feature_columns,hmm_loglik,hmm_transmat,fixed_lambda,adaptive_lambda_min,adaptive_lambda_median,adaptive_lambda_max,hmm_n_switches,fixed_jm_n_switches,adaptive_jm_n_switches
IBM,1053040,"mid_return,rolling_vol_5,rolling_vol_20,noise_score_raw,shock_score_raw,return,realized_var",9510697.644851733,"[[0.9797510474003173, 0.02024895259968277], [0.048414451731771384, 0.9515855482682286]]",3.367295829986474,0.0,3.83613247469098,5.9148844914612955,49232,20013,21435
OIH,823965,"mid_return,rolling_vol_5,rolling_vol_20,noise_score_raw,shock_score_raw,return,realized_var",7060403.595384411,"[[0.9857828373295618, 0.014217162670438111], [0.03560659829832608, 0.964393401701674]]",3.367295829986474,0.0,3.363839824972877,4.823813749874508,56044,34188,37624
IVE,522799,"mid_return,rolling_vol_5,rolling_vol_20,noise_score_raw,shock_score_raw,return,realized_var",5085303.0249508945,"[[0.9853046801311536, 0.014695319868846446], [0.40331392300353464, 0.5966860769964654]]",3.367295829986474,0.0,3.365220598643108,7.479762966810334,19844,39987,45251
WDC,605825,"mid_return,rolling_vol_5,rolling_vol_20,noise_score_raw,shock_score_raw,return,realized_var",5251546.851819501,"[[0.9839123864578684, 0.01608761354213164], [0.04156239442524632, 0.9584376055747538]]",3.367295829986474,0.0,3.214539849665657,10.101887489959422,45424,28791,31561
