total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,calmar,expected_shortfall_5pct,turnover,n_trades,exposure,symbol,model,delay_bars,transaction_cost
1.6305656111941222,0.09446807268691004,0.17726256887591124,0.597859393232297,0.5001941967213093,0.18886279230373468,-0.0013080010212714085,1.0,1,1.0,IBM,Buy and Hold,0,0.0
-1.0,-1.0,0.14155058090027708,-31.87975316811665,1.0,-1.0,-0.0012080147149189319,49232.0,49232,0.8586748841449517,IBM,HMM,1,0.001
-0.9999999970700622,-0.840190091123067,0.14599991740399978,-12.48695121173569,0.9999999971545722,-0.8401900935137672,-0.0011623199647526868,20014.0,20014,0.936762136291119,IBM,Fixed JM,1,0.001
-0.9999999993202312,-0.8605603717307595,0.14677659894654477,-13.34906741254527,0.9999999993398382,-0.8605603722988686,-0.0011722246284694175,21436.0,21436,0.937694674466307,IBM,Adaptive JM,1,0.001
-0.45426873546853563,-0.06969008861722159,0.30678142971731026,-0.08209913578202407,0.6931032292369802,-0.1005479208255048,-0.002274592643279077,1.0,1,1.0,OIH,Buy and Hold,0,0.0
-1.0,-1.0,0.2066172706428031,-32.83560004583294,1.0,-1.0,-0.0016608700467658506,56043.0,56043,0.7198060597234106,OIH,HMM,1,0.001
-0.9999999999999996,-0.9852498080694365,0.23393281597360027,-17.895796013191788,0.9999999999999996,-0.985249808069437,-0.0018006543176368323,34189.0,34189,0.8608666630257353,OIH,Fixed JM,1,0.001
-1.0,-1.0,0.23582445271732383,-19.538826241476954,1.0,-1.0,-0.0018205567318434488,37625.0,37625,0.8635245429114101,OIH,Adaptive JM,1,0.001
0.2916678664336847,0.04928880688140991,0.14874939947579408,0.39780681791427697,0.13019421629856343,0.37857908194923223,-0.0010973312362274152,1.0,1,1.0,IVE,Buy and Hold,0,0.0
-0.9999999977773608,-0.9763781349610242,0.1384203017238627,-26.989741971935732,0.9999999977877029,-0.9763781371210628,-0.001214895135727492,19845.0,19845,0.9660806543241284,IVE,HMM,1,0.001
-1.0,-1.0,0.1275278561602761,-58.6693952258654,1.0,-1.0,-0.0011314901074872205,39988.0,39988,0.7446743394688973,IVE,Fixed JM,1,0.001
-1.0,-1.0,0.13093244086313474,-64.71421005755263,1.0,-1.0,-0.0011280413633399044,45252.0,45252,0.7367994200447974,IVE,Adaptive JM,1,0.001
-0.10033046221245978,-0.017005440340901234,0.36918957423096876,0.13809164929158235,0.6400505312621536,-0.02656890278235876,-0.0027511080729959877,1.0,1,1.0,WDC,Buy and Hold,0,0.0
-1.0,-1.0,0.20169909234182504,-36.82215259001591,1.0,-1.0,-0.0016679003597457464,45424.0,45424,0.6038806586060331,WDC,HMM,1,0.001
-0.9999999999997724,-0.9911076791798616,0.2143790686169616,-21.921204194417676,0.9999999999997736,-0.991107679180086,-0.0017014326812076583,28792.0,28792,0.7014088226798167,WDC,Fixed JM,1,0.001
-0.999999999999985,-0.9942804854172231,0.21573197231107477,-23.82866253786517,0.9999999999999851,-0.9942804854172379,-0.0017154640098811511,31562.0,31562,0.7029670284323031,WDC,Adaptive JM,1,0.001
