market,variant,turnover_ours,turnover_shu,deviation,relative,shifts_ours,grid_min_turnover,grid_max_turnover,grid_reaches_shu,implied_k,signal_flips,flips_on_k_change,flips_manufactured_by_composition
us,v8.5,1.8830122591943956,1.41,0.4730122591943957,0.33546968737191185,128,1.08861646234676,4.942907180385289,True,13.44607142857143,128,4,3
de,v8.5,2.226458963031853,2.46,0.233541036968147,-0.09493538088136055,152,1.0253429435015113,4.116019530341782,True,3.589887955182073,152,3,3
jp,v8.5,3.1439539347408827,2.9,0.24395393474088278,0.08412204646237331,208,1.5115163147792705,7.028550863723608,True,6.438548752834468,208,3,2
