market,size,grid
us,3,0|20|80
us,3,0|21.5443|70
us,3,0|21.5443|80
us,3,0|21.5443|220
us,3,0|40|80
us,3,0.1|20|80
us,3,0.1|21.5443|60
us,3,0.1|21.5443|70
us,3,0.1|21.5443|80
us,3,0.1|21.5443|100
us,3,0.1|21.5443|150
us,3,5|20|220
us,3,15|20|220
us,3,21.5443|70|150
us,4,0|0.1|20|220
us,4,0|0.1|21.5443|70
us,4,0|0.1|21.5443|80
us,4,0|7.19686|20|220
us,4,0|7.19686|21.5443|70
us,4,0|7.19686|21.5443|80
