date,equity_simple,cash_return,signal,position,gross_return,one_way_turnover,transaction_cost,strategy_return
1969-05-02,0.0048521861507615,0.0002349206349206,,,,,,
1969-05-05,0.0036760834626508,0.0002365079365079,,,,,,
1969-05-06,0.0048131798348596,0.0002357142857142,,,,,,
1969-05-07,-0.0016935982556313,0.0002388888888888,,,,,,
1969-05-08,0.0042265171549742,0.000238492063492,,,,,,
1969-05-09,-0.0003573290992905,0.0002365079365079,,,,,,
1969-05-12,-0.0014047543164659,0.0002365079365079,,,,,,
1969-05-13,0.0044085444658008,0.0002396825396825,,,,,,
1969-05-14,0.0079027519937218,0.0002416666666666,,,,,,
1969-05-15,-0.0028018045959903,0.000240873015873,,,,,,
1969-05-16,0.0009686620396358,0.0002416666666666,,,,,,
1969-05-19,-0.0090377726751871,0.0002420634920634,,,,,,
1969-05-20,-0.0087413122513476,0.0002416666666666,,,,,,
1969-05-21,0.0042513934017238,0.0002428571428571,,,,,,
1969-05-22,0.0013627148163399,0.0002412698412698,,,,,,
1969-05-23,2.2742026812627717e-05,0.0002388888888888,,,,,,
1969-05-26,-0.0020806574898043,0.000238492063492,,,,,,
1969-05-27,-0.0074515941554712,0.000240873015873,,,,,,
1969-05-28,-0.0028747564238108,0.0002436507936507,,,,,,
1969-05-29,0.0020551935669823,0.0002428571428571,,,,,,
1969-06-02,-0.0049007808503318,0.0002412698412698,,,,,,
1969-06-03,-0.0028862295251029,0.0002428571428571,,,,,,
1969-06-04,-0.0002644747271831,0.000245238095238,,,,,,
1969-06-05,0.0017824219553947,0.0002484126984126,,,,,,
1969-06-06,-0.0061028144618927,0.0002535714285714,,,,,,
1969-06-09,-0.0088837817565753,0.0002515873015873,,,,,,
1969-06-10,-0.0075822142617655,0.0002559523809523,,,,,,
1969-06-11,-0.0135173684922965,0.0002626984126984,,,,,,
1969-06-12,-0.0078504950207735,0.0002654761904761,,,,,,
1969-06-13,0.0040943391650238,0.000270238095238,,,,,,
1969-06-16,-0.0032198943749287,0.0002682539682539,,,,,,
1969-06-17,-0.0036379662888269,0.0002630952380952,,,,,,
1969-06-18,-0.0013040106870805,0.0002587301587301,,,,,,
1969-06-19,-0.0057023382227954,0.0002599206349206,,,,,,
1969-06-20,-0.0057364984741495,0.0002619047619047,,,,,,
1969-06-23,-0.0044262298167578,0.0002587301587301,,,,,,
1969-06-24,0.0114522743319027,0.0002527777777777,,,,,,
1969-06-25,-0.0030600589924233,0.0002579365079365,,,,,,
1969-06-26,0.0025992334700852,0.0002539682539682,,,,,,
1969-06-27,0.0009479247260935,0.000240873015873,,,,,,
1969-06-30,0.004029498793078,0.0002440476190476,,,,,,
1969-07-01,0.003918167262312,0.0002496031746031,,,,,,
1969-07-02,0.0088997817503906,0.0002646825396825,,,,,,
1969-07-03,0.0069031855291583,0.0002674603174603,,,,,,
1969-07-07,-0.0056913035842827,0.000270238095238,,,,,,
1969-07-08,-0.0140057224194146,0.0002730158730158,,,,,,
1969-07-09,-0.0075506418294977,0.0002769841269841,,,,,,
1969-07-10,-0.0153516489547296,0.000279365079365,,,,,,
1969-07-11,0.0042203245720462,0.0002777777777777,,,,,,
1969-07-14,-0.0126073637065059,0.0002734126984126,,,,,,
1969-07-15,-0.003147319963404,0.0002753968253968,,,,,,
1969-07-16,0.0101059825650013,0.0002813492063492,,,,,,
1969-07-17,0.0062251597114175,0.0002773809523809,,,,,,
1969-07-18,-0.0083272772791561,0.000279365079365,,,,,,
1969-07-22,-0.0149291385609711,0.0002797619047619,,,,,,
1969-07-23,-0.0041456715293546,0.0002809523809523,,,,,,
1969-07-24,-0.0033049994125756,0.0002829365079365,,,,,,
1969-07-25,-0.0078427735367043,0.0002825396825396,,,,,,
1969-07-28,-0.0199641504651422,0.0002829365079365,,,,,,
1969-07-29,-0.007960758638051,0.0002825396825396,,,,,,
1969-07-30,0.0051604458039942,0.0002833333333333,,,,,,
1969-07-31,0.0212589838664423,0.0002821428571428,,,,,,
1969-08-01,0.0179915239725116,0.0002801587301587,,,,,,
1969-08-04,-0.0050029298579843,0.0002777777777777,,,,,,
1969-08-05,0.0046491206789194,0.000275,,,,,,
1969-08-06,0.005592185387742,0.0002769841269841,,,,,,
1969-08-07,0.0008777554580163,0.0002773809523809,,,,,,
1969-08-08,-0.0003994792640117,0.0002765873015873,,,,,,
1969-08-11,-0.0060417295154608,0.0002785714285714,,,,,,
1969-08-12,-0.0076867868906437,0.0002781746031746,,,,,,
1969-08-13,0.0008881349581437,0.000281746031746,,,,,,
1969-08-14,0.0070364285440984,0.0002809523809523,,,,,,
1969-08-15,0.0072034065479327,0.0002765873015873,,,,,,
1969-08-18,0.0061962700716453,0.0002718253968253,,,,,,
1969-08-19,0.00541953247686,0.0002690476190476,,,,,,
1969-08-20,0.0001324435309624,0.0002714285714285,,,,,,
1969-08-21,0.0030776289753262,0.0002722222222222,,,,,,
1969-08-22,0.0061104163043852,0.000275,,,,,,
1969-08-25,-0.0101886353125321,0.0002761904761904,,,,,,
1969-08-26,-0.0065039964921359,0.0002777777777777,,,,,,
1969-08-27,0.0021472346853956,0.0002841269841269,,,,,,
1969-08-28,0.0043657119712436,0.0002837301587301,,,,,,
1969-08-29,0.0066663538541789,0.0002813492063492,,,,,,
1969-09-02,0.0004463515837322,0.0002757936507936,,,,,,
1969-09-03,-0.0057291325545006,0.0002789682539682,,,,,,
1969-09-04,-0.0080800612590975,0.0002777777777777,,,,,,
1969-09-05,-0.0058125114404252,0.000279365079365,,,,,,
1969-09-08,-0.0099062101102294,0.0002801587301587,,,,,,
1969-09-09,0.0074677555005935,0.0002813492063492,,,,,,
1969-09-10,0.0169452804232004,0.0002841269841269,,,,,,
1969-09-11,-0.0075559510911176,0.0002825396825396,,,,,,
1969-09-12,-0.0008229921656617,0.0002813492063492,,,,,,
1969-09-15,0.0079937879052862,0.000281746031746,,,,,,
1969-09-16,0.0009754591899793,0.000281746031746,,,,,,
1969-09-17,-0.0018687374746525,0.0002829365079365,,,,,,
1969-09-18,0.0016096712935458,0.0002829365079365,,,,,,
1969-09-19,0.0031881189958655,0.0002833333333333,,,,,,
1969-09-22,0.0047545407952473,0.0002841269841269,,,,,,
1969-09-23,0.0001322611363876,0.0002833333333333,,,,,,
1969-09-24,-0.0012271162258583,0.000281746031746,,,,,,
1969-09-25,-0.0075117530723409,0.000281746031746,,,,,,
1969-09-26,-0.0063043010938974,0.0002813492063492,,,,,,
1969-09-29,-0.0078329042292738,0.0002801587301587,,,,,,
1969-09-30,-0.0029723411991003,0.0002742063492063,,,,,,
1969-10-01,-0.0063237547267537,0.0002833333333333,,,,,,
1969-10-02,0.0079017242405112,0.0002845238095238,,,,,,
1969-10-03,-0.0004165918564347,0.0002809523809523,,,,,,
1969-10-06,0.0021583992420763,0.0002777777777777,,,,,,
1969-10-07,-0.0029859903608784,0.0002753968253968,,,,,,
1969-10-08,-0.0043921337210506,0.0002773809523809,,,,,,
1969-10-09,0.0040043686069846,0.0002777777777777,,,,,,
1969-10-10,0.0058166835112405,0.0002789682539682,,,,,,
1969-10-13,0.0107011136477503,0.0002769841269841,,,,,,
1969-10-14,0.0122824214357815,0.0002769841269841,,,,,,
1969-10-15,0.000328640663761,0.000279365079365,,,,,,
1969-10-16,0.0069102648161782,0.000279365079365,,,,,,
1969-10-17,-0.0010218307602312,0.0002785714285714,,,,,,
1969-10-20,0.0021972840598498,0.0002765873015873,,,,,,
1969-10-21,0.0077911612327368,0.0002742063492063,,,,,,
1969-10-22,0.0066011415165738,0.0002738095238095,,,,,,
1969-10-23,-0.0036624893467476,0.0002742063492063,,,,,,
1969-10-24,0.0068916562653706,0.0002769841269841,,,,,,
1969-10-27,-0.0014091462294384,0.0002777777777777,,,,,,
1969-10-28,-0.0030445993929073,0.0002773809523809,,,,,,
1969-10-29,-0.0085841183535592,0.0002777777777777,,,,,,
1969-10-30,0.0013591793687013,0.0002781746031746,,,,,,
1969-10-31,0.0020798122256817,0.0002785714285714,,,,,,
1969-11-03,0.0004527880490801,0.0002773809523809,,,,,,
1969-11-04,0.0007614809229241,0.0002765873015873,,,,,,
1969-11-05,0.0045673208260583,0.0002765873015873,,,,,,
1969-11-06,0.0004511430423892,0.0002805555555555,,,,,,
1969-11-07,0.0061846946109669,0.0002825396825396,,,,,,
1969-11-10,0.0008562969795922,0.0002829365079365,,,,,,
1969-11-11,-0.0025002746889792,0.0002825396825396,,,,,,
1969-11-12,-0.0016915223785313,0.0002825396825396,,,,,,
1969-11-13,-0.0046574156742785,0.0002845238095238,,,,,,
1969-11-14,-0.0034487714278026,0.0002857142857142,,,,,,
1969-11-17,-0.0066552717949153,0.0002813492063492,,,,,,
1969-11-18,-6.358725192656678e-05,0.0002805555555555,,,,,,
1969-11-19,-0.0049395883412979,0.0002857142857142,,,,,,
1969-11-20,-0.0101793265331265,0.0002869047619047,,,,,,
