grid,model,start,end,observations,cagr,volatility,sharpe,maximum_drawdown,calmar,expected_shortfall_5pct,turnover,leverage,shifts,days
g1_table3,fixed,1990-01-02,2023-12-29,8565,0.11911347668479921,0.12515449662351197,0.7536917790463452,-0.20021721853285313,0.4711278875365382,-0.01940381200032961,0.5001751313485113,0.7813193228254525,34,8565
g1_table3,lagged,1990-01-02,2023-12-29,8565,0.10973586836113758,0.12437906145889066,0.6899020550816822,-0.25194703047869915,0.34058496322255427,-0.019441137418699187,0.6178633975481611,0.7781669585522475,42,8565
g1_table3,capguard,1990-01-02,2023-12-29,8565,0.10892591515564254,0.12465710703375074,0.6827813693048941,-0.25194703047869915,0.3378231927257701,-0.019476651276756872,0.6178633975481611,0.7782837127845884,42,8565
g2_v10_us,fixed,1990-01-02,2023-12-29,8565,0.11138985662860179,0.12853224671358607,0.6833250716706581,-0.26639191672473117,0.3296995936566196,-0.01987208601193852,0.4413309982486865,0.7890251021599533,30,8565
g2_v10_us,lagged,1990-01-02,2023-12-29,8565,0.10952575956248412,0.1270050133411734,0.6767888371178012,-0.23672952969038386,0.3630961266206374,-0.01982793764602874,0.6178633975481611,0.786456509048453,42,8565
g2_v10_us,capguard,1990-01-02,2023-12-29,8565,0.10310779717496987,0.130588597012591,0.6173288321711372,-0.2745369970340338,0.29364386934944237,-0.020354790682644723,0.6472854640980735,0.7880910683012259,44,8565
