market,estimator,bootstrap,block_length,replications,observations,delta,hac_standard_error,prewhitened,studentized_symmetric_low,studentized_symmetric_high,studentized_equal_tailed_low,studentized_equal_tailed_high,studentized_contains_zero,p_value_symmetric,p_value_equal_tailed,fraction_of_bootstrap_replicates_with_positive_delta,unstudentized_percentile_low,unstudentized_percentile_high,median_bootstrap_standard_error,block_standard_error_original_sample,old_moving_block_percentile_low,old_moving_block_percentile_high,old_fraction_of_bootstrap_replicates_with_positive_delta
us,repo,circular_block,21,4999,8565,0.004391400064604139,0.019056218472393055,True,-0.03258609116084203,0.04136889129005031,-0.03128516097982131,0.04258783908354117,True,0.8274,0.8364,0.5977195439087818,-0.03057150833959219,0.0409122782466665,0.018152022015210423,0.018980059317460603,-0.027141851407921476,0.039632557392026015,0.618
us,repo,circular_block,63,4999,8565,0.004391400064604139,0.019056218472393055,True,-0.03395287137601451,0.04273567150522278,-0.03284638061746995,0.043950495612221696,True,0.8362,0.8396,0.5997199439887978,-0.028727607382822797,0.040415229114290394,0.016959181392534866,0.01743892678126045,-0.027141851407921476,0.039632557392026015,0.618
us,repo,circular_block,126,4999,8565,0.004391400064604139,0.019056218472393055,True,-0.03496715647671869,0.04374995660592697,-0.03542419074345277,0.042866816439496594,True,0.8316,0.8532,0.6091218243648729,-0.031014459225123504,0.03862874542824819,0.016430420675358447,0.015495972386747487,-0.027141851407921476,0.039632557392026015,0.618
us,repo,circular_block,252,4999,8565,0.004391400064604139,0.019056218472393055,True,-0.037178744593289806,0.04596154472249808,-0.03985168541680223,0.039720841534424636,True,0.832,0.894,0.6295259051810362,-0.0290867726334492,0.038412859021537044,0.016418259994432187,0.018065260153423128,-0.027141851407921476,0.039632557392026015,0.618
us,repo,stationary,63,4999,8565,0.004391400064604139,0.019056218472393055,True,-0.03269639954239433,0.04147919967160261,-0.03216240956888906,0.04256404897705611,True,0.8318,0.8676,0.6143228645729146,-0.027816514884059514,0.039591705100172396,0.017407554226881547,0.01743892678126045,-0.027141851407921476,0.039632557392026015,0.618
us,lw_excess,circular_block,63,4999,8565,0.004396882671297212,0.01906252918834251,True,-0.03420995477659973,0.04300372011919415,-0.03177839439195235,0.04547938948013277,True,0.8318,0.8532,0.6097219443888777,-0.028460350464583874,0.039940896444504013,0.017005052833658944,0.017432337901979546,-0.027141851407921476,0.039632557392026015,0.618
de,repo,circular_block,21,4999,8602,0.02205697378025673,0.025732703026722224,True,-0.027533462878477074,0.07164741043899053,-0.02329983786220539,0.0756327338030465,True,0.3974,0.3836,0.8187637527505501,-0.02512412954523732,0.07055431885348842,0.0249650117681817,0.025308368426270923,-0.025443318684071903,0.07074120986835113,0.8355
de,repo,circular_block,63,4999,8602,0.02205697378025673,0.025732703026722224,True,-0.02961064259640844,0.0737245901569219,-0.026981519432546366,0.07624144712447994,True,0.4,0.3848,0.8277655531106222,-0.02321305215998524,0.06926113441715477,0.023053310954478115,0.023130990177631705,-0.025443318684071903,0.07074120986835113,0.8355
de,repo,circular_block,126,4999,8602,0.02205697378025673,0.025732703026722224,True,-0.03002910490119511,0.07414305246170858,-0.02954130921169271,0.07458800583222634,True,0.4146,0.4248,0.8197639527905581,-0.026661008802559966,0.07053505165824837,0.023589170610915897,0.025618931898317997,-0.025443318684071903,0.07074120986835113,0.8355
de,repo,circular_block,252,4999,8602,0.02205697378025673,0.025732703026722224,True,-0.02980410665442067,0.07391805421493414,-0.031049601686097234,0.07289012894570716,True,0.4178,0.4196,0.7977595519103821,-0.030098654656797785,0.0727790899184964,0.02547512916159713,0.024194217585133612,-0.025443318684071903,0.07074120986835113,0.8355
