market,seed,sharpe,sealed_sharpe,cagr,turnover,choices_signature,position_signature
us,0,0.6772860131253974,0.6772860131253648,0.11215778768806062,0.41190893169877413,-2100872700143488362,-4082665783043170985
us,1,0.6772860131253974,0.6772860131253648,0.11215778768806062,0.41190893169877413,-2139441793189169818,-4082665783043170985
us,2,0.6772860131253974,0.6772860131253648,0.11215778768806062,0.41190893169877413,-2139441793189169818,-4082665783043170985
us,3,0.6772860131253974,0.6772860131253648,0.11215778768806062,0.41190893169877413,-2139441793189169818,-4082665783043170985
us,4,0.6772860131253974,0.6772860131253648,0.11215778768806062,0.41190893169877413,-2286001989012828107,-4082665783043170985
de,0,0.3893499782631084,0.3893499782630847,0.07765028997337953,0.820274354801209,-2773112522152635626,6797851197492996528
de,1,0.385935401452075,0.3893499782630847,0.07705715183125039,0.820274354801209,8077807728428513997,8784064424304893184
de,2,0.3976837209567491,0.3893499782630847,0.07902113246236908,0.820274354801209,-2147402603656303924,4142044018219106251
de,3,0.3893499782631084,0.3893499782630847,0.07765028997337953,0.820274354801209,-2773112522152635626,6797851197492996528
de,4,0.3893499782631084,0.3893499782630847,0.07765028997337953,0.820274354801209,-2773112522152635626,6797851197492996528
jp,0,0.2938464380755915,0.2938464380755921,0.04162016382241718,0.7557581573896353,4551839095894570167,1444810308606627834
jp,1,0.2938464380755915,0.2938464380755921,0.04162016382241718,0.7557581573896353,4551839095894570167,1444810308606627834
jp,2,0.2938464380755915,0.2938464380755921,0.04162016382241718,0.7557581573896353,4551839095894570167,1444810308606627834
jp,3,0.2768148886005177,0.2938464380755921,0.03883790610600757,0.7859884836852207,-978003805194026852,-5280031243778446519
jp,4,0.2938464380755915,0.2938464380755921,0.04162016382241718,0.7557581573896353,4551839095894570167,1444810308606627834
