market,seed,jm_sharpe,c2d_sharpe,paired_delta
us,0,0.6772860131253974,0.6816774131900047,0.004391400064607365
us,1,0.6772860131253974,0.6816774131900047,0.004391400064607365
us,2,0.6772860131253974,0.6816774131900047,0.004391400064607365
us,3,0.6772860131253974,0.6816774131900047,0.004391400064607365
us,4,0.6772860131253974,0.6816774131900047,0.004391400064607365
de,0,0.3893499782631084,0.41140695204336664,0.022056973780258227
de,1,0.385935401452075,0.4029526967718206,0.017017295319745607
de,2,0.3976837209567491,0.4132033013897234,0.0155195804329743
de,3,0.3893499782631084,0.41140695204336664,0.022056973780258227
de,4,0.3893499782631084,0.41140695204336664,0.022056973780258227
jp,0,0.2938464380755915,0.3031222171066215,0.009275779031029996
jp,1,0.2938464380755915,0.3031222171066215,0.009275779031029996
jp,2,0.2938464380755915,0.3031222171066215,0.009275779031029996
jp,3,0.2768148886005177,0.28778017685634316,0.01096528825582549
jp,4,0.2938464380755915,0.3031222171066215,0.009275779031029996
