market,lambda,disagree_days,disagree_days_in_oos
de,0.1,7,6
de,1.0,2,2
de,10.0,1,1
de,21.544346900318832,2,1
de,26.826957952797247,13,12
de,40.0,3,2
de,100.0,0,0
de,500.0,0,0
