market,lambda,date,in_oos_window
de,0.1,1983-08-12,False
de,0.1,2002-03-04,True
de,0.1,2004-08-24,True
de,0.1,2012-04-16,True
de,0.1,2012-04-25,True
de,0.1,2012-05-04,True
de,0.1,2015-08-04,True
de,1.0,2000-03-31,True
de,1.0,2000-11-08,True
de,10.0,1998-12-01,True
de,21.544346900318832,1989-12-06,False
de,21.544346900318832,2008-06-20,True
de,26.826957952797247,1989-12-07,False
de,26.826957952797247,2000-07-27,True
de,26.826957952797247,2000-07-28,True
de,26.826957952797247,2000-07-31,True
de,26.826957952797247,2000-08-01,True
de,26.826957952797247,2000-08-02,True
de,26.826957952797247,2000-10-31,True
de,26.826957952797247,2000-11-29,True
de,26.826957952797247,2008-05-19,True
de,26.826957952797247,2008-06-23,True
de,26.826957952797247,2008-06-24,True
de,26.826957952797247,2008-06-25,True
de,26.826957952797247,2008-06-26,True
de,40.0,1989-12-11,False
de,40.0,2008-05-28,True
de,40.0,2008-06-24,True
