metric,imf,jst,shu,dev_imf,dev_jst
cagr,0.022415727300095112,0.025906543023481943,0.025,0.0025842726999048896,0.0009065430234819413
volatility,0.15980463276395404,0.15961803421123735,0.16,0.0001953672360459624,0.0003819657887626504
sharpe,0.17710231189905384,0.18737306607164556,0.19,0.012897688100946159,0.002626933928354447
maximum_drawdown,-0.5100873439413578,-0.5100873439413578,-0.486,0.02408734394135781,0.02408734394135781
calmar,0.05548416413548432,0.058633331772934054,0.06,0.004515835864515677,0.0013666682270659439
expected_shortfall_5pct,-0.025137238548276597,-0.02507713865474184,-0.025,0.0001372385482765956,7.713865474183804e-05
turnover,3.1439539347408827,3.1137236084452975,2.9,0.24395393474088278,0.21372360844529759
leverage,0.6795825335892515,0.6792226487523992,0.68,0.00041746641074857926,0.0007773512476008104
