arm,unique_vectors,passing_vectors
us-d1,3950116,109400
us-d5,3173137,947069
us-d10,5168413,2369049
de-d1,4045443,0
de-d5,2178546,1192873
de-d10,2752323,1102081
jp-d1,4948505,0
jp-d5,3658481,168384
jp-d10,3160488,513280
