market,months,median_margin,share_margin_under_002,median_spread,split_half_agreement,chance,month_to_month_switch,control_agreement,realistic_0,realistic_1,power_0.1,power_0.2,power_0.4,power_0.8,power_1.6
us,418,0.029941139535634043,0.33014354066985646,0.1636817167578941,0.17142857142857143,0.16666666666666666,0.07177033492822966,1.0,0.7714285714285715,0.6142857142857143,1.0,1.0,1.0,1.0,1.0
de,416,0.03230374227165344,0.3125,0.24887505991458175,0.1510791366906475,0.16666666666666666,0.055288461538461536,1.0,0.6258992805755396,0.5827338129496403,1.0,1.0,1.0,1.0,1.0
jp,414,0.04717830024964598,0.2777777777777778,0.35508061327596063,0.17391304347826086,0.16666666666666666,0.06038647342995169,1.0,0.463768115942029,0.43478260869565216,1.0,1.0,1.0,1.0,1.0
