market,compared_days,winner,winner_agreement,winner_ties,adopted,adopted_agreement,differs,ranked
us,8563,0|0.1|20|35|150|1000,0.9629802639261941,11,0|0.1|20|220,0.9608781968936121,True,43212
de,8600,26.827|30|40,0.9074418604651163,1,0.1|1|10|21.5443|26.827|40|100|500,,True,389
jp,8344,1.9307|22|25|26.827|40|51.7947|220,0.8539069990412272,1,1.9307|20|25|26.827|40|51.7947|220,0.8516299137104506,True,5348
