market,basis,concordance,precision,recall,f1,covering_theirs,covering_ours,their_shifts,our_shifts,their_bear,our_bear,n_days
us,v94_recon,0.9414924675931332,0.29411764705882354,0.3333333333333333,0.3125,0.7392085361577485,0.7090327490894053,30,34,0.19736073805909143,0.21873175289034216,8563
us,best_const,0.9574915333411188,0.7142857142857143,0.3333333333333333,0.4545454545454545,0.8911686399509222,0.9129467685279966,30,14,0.19736073805909143,0.21487796333060843,8563
us,v10_selected,0.9475651056872592,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.8567633885601781,0.8311973399997327,30,30,0.19736073805909143,0.2110241737708747,8563
de,v94_recon,0.872093023255814,0.3875,0.2719298245614035,0.3195876288659794,0.6043813912077073,0.5741283218851807,114,80,0.1563953488372093,0.2566279069767442,8600
de,best_const,0.895,0.45652173913043476,0.18421052631578946,0.2625,0.5830986147358231,0.6000677919986604,114,46,0.1563953488372093,0.2216279069767442,8600
de,v10_selected,0.8584883720930233,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.44574384977589854,0.5371534896364579,114,18,0.1563953488372093,0.15046511627906978,8600
jp,v94_recon,0.7979386385426653,0.24731182795698925,0.4791666666666667,0.326241134751773,0.5897732150691335,0.5295465723257027,48,93,0.25275647171620325,0.41718600191754557,8344
jp,best_const,0.8161553211888782,0.13636363636363635,0.0625,0.08571428571428572,0.6039544134362314,0.66286485205779,48,22,0.25275647171620325,0.34887344199424736,8344
jp,v10_selected,0.8151965484180249,0.32608695652173914,0.3125,0.3191489361702128,0.4952027959765278,0.48600720543427944,48,46,0.25275647171620325,0.39944870565675933,8344
us,hmm_vs_fig6,0.9745416326053953,0.7049180327868853,0.8958333333333334,0.7889908256880733,0.8501600821934453,0.79108844624666,96,122,0.2784071003153101,0.27957491533341117,8563
