market,lambda,agreement,n_days
us,0.0,0.894779866869088,8563
us,0.1,0.8957141188835689,8563
us,1.0,0.8961812448908093,8563
us,1.93069772888325,0.8995679084433026,8563
us,3.72759372031494,0.906224454046479,8563
us,4.641588833612778,0.9076258320682004,8563
us,5.0,0.9090272100899217,8563
us,7.196856730011519,0.9090272100899217,8563
us,10.0,0.9162676632021488,8563
us,13.894954943731374,0.921639612285414,8563
us,15.0,0.9240920238234264,8563
us,20.0,0.9448791311456265,8563
us,21.544346900318832,0.9466308536727782,8563
us,22.0,0.9472147611818288,8563
us,25.0,0.9483825761999299,8563
us,26.826957952797247,0.952586710265094,8563
us,30.0,0.9480322316944996,8563
us,35.0,0.9574915333411188,8563
us,40.0,0.9532873992759547,8563
us,50.0,0.9433609716220951,8563
us,51.7947467923121,0.9428938456148546,8563
us,60.0,0.9439448791311457,8563
us,70.0,0.9378722410370197,8563
us,80.0,0.9379890225388299,8563
us,100.0,0.934952703491767,8563
us,150.0,0.9064580170500993,8563
us,220.0,0.9042391685157071,8563
us,500.0,0.7998365058974658,8563
us,1000.0,0.8038070769590097,8563
de,0.0,0.8313953488372093,8600
de,0.1,0.8303488372093023,8600
de,1.0,0.8291860465116279,8600
de,1.93069772888325,0.83,8600
de,3.72759372031494,0.8496511627906976,8600
de,4.641588833612778,0.8512790697674418,8600
de,5.0,0.8519767441860465,8600
de,7.196856730011519,0.8533720930232558,8600
de,10.0,0.8656976744186047,8600
de,13.894954943731374,0.8643023255813953,8600
de,15.0,0.8711627906976744,8600
de,20.0,0.8930232558139535,8600
de,21.544346900318832,0.8929069767441861,8600
de,22.0,0.8948837209302326,8600
de,25.0,0.8926744186046511,8600
de,26.826957952797247,0.895,8600
de,30.0,0.8902325581395348,8600
de,35.0,0.8905813953488372,8600
de,40.0,0.8869767441860466,8600
de,50.0,0.877906976744186,8600
de,51.7947467923121,0.876860465116279,8600
de,60.0,0.8723255813953489,8600
de,70.0,0.8743023255813953,8600
de,80.0,0.8761627906976744,8600
de,100.0,0.8740697674418605,8600
de,150.0,0.8605813953488373,8600
de,220.0,0.8537209302325581,8600
de,500.0,0.7559302325581395,8600
de,1000.0,0.8203488372093023,8600
jp,0.0,0.7446069031639502,8344
jp,0.1,0.7484419942473634,8344
jp,1.0,0.7509587727708533,8344
jp,1.93069772888325,0.75143815915628,8344
jp,3.72759372031494,0.7533557046979866,8344
jp,4.641588833612778,0.7539549376797698,8344
jp,5.0,0.7546740172579098,8344
jp,7.196856730011519,0.7545541706615532,8344
jp,10.0,0.7454458293384468,8344
jp,13.894954943731374,0.7411313518696069,8344
jp,15.0,0.7430488974113135,8344
jp,20.0,0.7535953978907,8344
jp,21.544346900318832,0.7558724832214765,8344
jp,22.0,0.7564717162032598,8344
jp,25.0,0.7535953978907,8344
jp,26.826957952797247,0.7526366251198466,8344
jp,30.0,0.7636625119846596,8344
jp,35.0,0.7623441994247363,8344
jp,40.0,0.7636625119846596,8344
jp,50.0,0.785594439117929,8344
jp,51.7947467923121,0.7882310642377757,8344
jp,60.0,0.7876318312559923,8344
jp,70.0,0.7799616490891659,8344
jp,80.0,0.7763662511984659,8344
jp,100.0,0.7829578139980825,8344
jp,150.0,0.8161553211888782,8344
jp,220.0,0.7607861936720998,8344
jp,500.0,0.7044582933844679,8344
jp,1000.0,0.7127277085330777,8344
