path,days,bear_share,shifts,bear_episodes,bear_median,bear_mean,bear_max,bear_le_5d,bull_median,bull_mean
ours (sealed v9.4),8565,0.27950963222416814,122,61,13.0,39.24590163934426,339,0.26229508196721313,28.5,99.53225806451613
Shu (Figure 6),8565,0.2783420899007589,96,48,16.5,49.666666666666664,346,0.125,28.0,126.14285714285714
