block,date,lam,val_sharpe
0,2005-01-04,35.0,0.28910663117835445
1,2005-07-08,50.0,0.36080229725964796
2,2006-01-16,50.0,0.8452109904644639
3,2006-07-18,50.0,0.6166355939608006
4,2007-01-22,50.0,0.7280469780174316
5,2007-07-25,150.0,0.8891104275433945
6,2008-01-31,75.0,0.7428021341212088
7,2008-08-04,150.0,0.7737941224192538
8,2009-02-10,150.0,0.6302975174387503
9,2009-08-14,75.0,0.48952232737714385
10,2010-02-24,100.0,0.5093130575883947
11,2010-08-30,10.0,0.4363004468759171
12,2011-03-09,50.0,-0.0037611459619668907
13,2011-09-09,50.0,-0.11790659000251012
14,2012-03-16,50.0,-0.07275142020254824
15,2012-09-18,1000.0,-0.30982638348870745
16,2013-03-27,100.0,0.1581085695036329
17,2013-09-27,400.0,0.41039170775884326
18,2014-04-07,1000.0,0.6961191241845444
19,2014-10-08,1000.0,0.5038322877071886
20,2015-04-15,1000.0,0.7360478883340197
21,2015-10-21,1000.0,0.7734334142022228
22,2016-04-26,1000.0,0.5599844346399196
23,2016-11-01,1000.0,0.7450547417827914
24,2017-05-10,50.0,0.7200509048356231
25,2017-11-09,50.0,1.1095982235167934
26,2018-05-18,1000.0,0.6726186133526042
27,2018-11-15,1000.0,0.5081872711360481
28,2019-05-31,1000.0,0.46082679456682685
29,2019-12-04,1000.0,0.5154310124719044
30,2020-06-15,1000.0,0.21336701443895992
31,2020-12-18,1000.0,0.467414625258111
32,2021-06-25,1000.0,0.6273647626408811
33,2021-12-29,1000.0,0.6562215406433237
34,2022-07-07,1000.0,0.3746138210055268
35,2023-01-13,1000.0,0.25325009837245066
36,2023-07-18,1000.0,0.4467518142738933
37,2024-01-23,1000.0,0.629556092345319
38,2024-07-26,250.0,0.7997011758353381
