metric,v9_1,v9_2,shu,dev_v9_1,dev_v9_2
cagr,0.06796435858820504,0.0678029885959004,0.064,0.003964358588205041,0.0038029885959003917
volatility,0.13997649097093892,0.13995564466353896,0.14,2.3509029061091757e-05,4.435533646104939e-05
sharpe,0.368095914944661,0.36704996692253467,0.35,0.018095914944661007,0.017049966922534687
maximum_drawdown,-0.4385111729766794,-0.4385111729766855,-0.405,0.03351117297667938,0.03351117297668549
calmar,0.11749934252514699,0.11714801790718622,0.12,0.0025006574748530075,0.0028519820928137735
expected_shortfall_5pct,-0.02201070904034612,-0.02201070904034617,-0.022,1.0709040346119914e-05,1.0709040346171955e-05
turnover,2.226458963031853,2.2557544757033248,2.46,0.233541036968147,0.2042455242966752
leverage,0.7298302720297605,0.7294815159265288,0.73,0.00016972797023950825,0.0005184840734712148
