Market,Model,CAGR,Vol,Sharpe,MDD,Calmar,Turn_yr,Trades,Expo
S&P 500,JM asym,8.2,13.6,0.65,-33.9,0.24,137.0,27,77.4
DAX,JM asym,7.7,16.8,0.52,-40.5,0.19,105.5,21,85.9
Nikkei 225,JM asym,3.8,17.4,0.3,-59.3,0.06,146.1,28,74.4
