Market,Model,CAGR,Vol,Sharpe,MDD,Calmar,Turn_yr,Trades,Expo
S&P 500,JM asym,7.6,13.8,0.6,-33.9,0.23,126.8,25,78.9
DAX,JM asym,6.5,18.9,0.43,-47.3,0.14,65.3,13,91.4
Nikkei 225,JM asym,7.5,17.8,0.5,-38.4,0.2,93.9,18,79.1
