block,date,lam_bar,ratio,lam_out,lam_in,val_sharpe
0,2005-01-04,20.0,0.3333333333333333,34.64101615137755,11.547005383792515,0.3168870709749275
1,2005-07-08,250.0,0.3333333333333333,433.01270189221935,144.33756729740642,0.409827455983849
2,2006-01-16,250.0,9.0,83.33333333333333,750.0,1.118538091888665
3,2006-07-18,20.0,0.1111111111111111,60.0,6.666666666666666,0.6904635114018383
4,2007-01-22,20.0,0.1111111111111111,60.0,6.666666666666666,0.7851279743810958
5,2007-07-25,150.0,0.1111111111111111,450.0,50.0,0.9225970132963656
6,2008-01-31,50.0,0.3333333333333333,86.60254037844388,28.867513459481287,0.7776219687500735
7,2008-08-04,150.0,1.0,150.0,150.0,0.7737941224192538
8,2009-02-10,100.0,0.3333333333333333,173.20508075688775,57.735026918962575,0.6484624296182236
9,2009-08-14,20.0,9.0,6.666666666666667,60.0,0.6258251556243664
10,2010-02-24,50.0,0.3333333333333333,86.60254037844388,28.867513459481287,0.5830968462860944
11,2010-08-30,250.0,9.0,83.33333333333333,750.0,0.5567537018333532
12,2011-03-09,10.0,0.3333333333333333,17.320508075688775,5.773502691896257,0.1861795013780101
13,2011-09-09,150.0,9.0,50.0,450.0,0.08430569827833652
14,2012-03-16,35.0,0.3333333333333333,60.62177826491071,20.207259421636902,-0.01573787080901504
15,2012-09-18,100.0,0.1111111111111111,300.0,33.33333333333333,-0.12725279379621063
16,2013-03-27,150.0,9.0,50.0,450.0,0.7566938175616562
17,2013-09-27,400.0,0.3333333333333333,692.820323027551,230.9401076758503,0.6255061789453266
18,2014-04-07,1000.0,1.0,1000.0,1000.0,0.6961191241845444
19,2014-10-08,1000.0,1.0,1000.0,1000.0,0.5038322877071886
20,2015-04-15,1000.0,1.0,1000.0,1000.0,0.7360478883340197
21,2015-10-21,1000.0,1.0,1000.0,1000.0,0.7734334142022228
22,2016-04-26,1000.0,1.0,1000.0,1000.0,0.5599844346399196
23,2016-11-01,50.0,0.1111111111111111,150.0,16.666666666666664,0.7907027623999849
24,2017-05-10,50.0,0.1111111111111111,150.0,16.666666666666664,0.8215423412832039
25,2017-11-09,50.0,1.0,50.0,50.0,1.1095982235167934
26,2018-05-18,50.0,0.1111111111111111,150.0,16.666666666666664,0.7488035790271887
27,2018-11-15,250.0,3.0,144.33756729740645,433.0127018922193,0.5225994903375023
28,2019-05-31,20.0,0.3333333333333333,34.64101615137755,11.547005383792515,0.5002552185814702
29,2019-12-04,1000.0,1.0,1000.0,1000.0,0.5154310124719044
30,2020-06-15,1000.0,1.0,1000.0,1000.0,0.21336701443895992
31,2020-12-18,1000.0,1.0,1000.0,1000.0,0.467414625258111
32,2021-06-25,20.0,3.0,11.547005383792516,34.64101615137754,0.6430062223721879
33,2021-12-29,1000.0,1.0,1000.0,1000.0,0.6562215406433237
34,2022-07-07,1000.0,1.0,1000.0,1000.0,0.3746138210055268
35,2023-01-13,1000.0,1.0,1000.0,1000.0,0.25325009837245066
36,2023-07-18,1000.0,1.0,1000.0,1000.0,0.4467518142738933
37,2024-01-23,1000.0,1.0,1000.0,1000.0,0.629556092345319
38,2024-07-26,250.0,1.0,250.0,250.0,0.7997011758353381
