block,date,lam_bar,ratio,lam_out,lam_in,delta,d_bull,d_bear,val_sharpe
0,2005-01-04,50.0,1.111017661900757,47.436159736721436,52.702411280243076,-0.10527640783154357,238.8,265.2,0.2692310498527702
1,2005-07-08,35.0,0.9029567854435177,36.83278528985052,33.25841340425471,0.10208058336201464,264.8,239.2,0.32377748001783324
2,2006-01-16,50.0,1.0460863204096564,48.88619580065664,51.1391806839349,-0.0450558865300037,274.4,287.0,0.8406506327927852
3,2006-07-18,50.0,0.8900602409638559,52.998100403336124,47.17150201561998,0.11646613207033507,266.6,237.4,0.6166355939608006
4,2007-01-22,50.0,0.8774289985052316,53.37821081789132,46.835590059943506,0.13075924030013208,335.5,294.5,0.7062003643133664
5,2007-07-25,50.0,0.9600730093543236,51.029095927506965,48.99165769175206,0.040745946001263356,366.25,351.6666666666667,0.8279643824563964
6,2008-01-31,50.0,0.5991410164638511,64.59597806611337,38.70209995800781,0.5122582887674865,466.6666666666667,280.0,0.7528508586510335
7,2008-08-04,75.0,0.5987421383647801,96.92623678938152,58.03382227892531,0.5129242604229116,663.5,397.6666666666667,0.7130496944076569
8,2009-02-10,250.0,0.8284883720930236,274.6608754286421,227.55334156152043,0.18815247710474736,689.0,571.0,0.6302975174387503
9,2009-08-14,75.0,1.3579545454545465,64.36038699561973,87.3984800679155,-0.30597955689335965,441.0,598.5,0.552835920363994
10,2010-02-24,75.0,1.3579545454545465,64.36038699561973,87.3984800679155,-0.30597955689335965,441.0,598.5,0.5641465059209325
11,2010-08-30,10.0,0.9886544772620723,10.057214926554341,9.943110565924892,0.011410374163162373,149.125,147.44444444444446,0.4701946210156692
12,2011-03-09,250.0,0.6874580818242789,301.5205368566816,207.2827298981211,0.37475442319222996,746.5,513.5,0.062284861923416396
13,2011-09-09,50.0,0.5988857938718662,64.60974078767971,38.69385590348506,0.5126843603606162,360.0,216.0,-0.17862456181920067
14,2012-03-16,50.0,0.7180013689253933,59.00752080808099,42.36748071709579,0.33128380335440255,293.2,210.8,-0.17151103750562618
15,2012-09-18,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,-0.30982638348870745
16,2013-03-27,35.0,0.6500000000000001,43.412157106222956,28.217902119044926,0.4307829160924541,254.33333333333334,165.66666666666666,0.18954072874745326
17,2013-09-27,400.0,1.0,400.0,400.0,0.0,2520.0,,0.41039170775884326
18,2014-04-07,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.6961191241845444
19,2014-10-08,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5038322877071886
20,2015-04-15,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.7360478883340197
21,2015-10-21,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.7734334142022228
22,2016-04-26,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5599844346399196
23,2016-11-01,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.7450547417827914
24,2017-05-10,50.0,0.8995815899581584,52.716883134740264,47.42313754798807,0.10582552380384858,240.0,216.0,0.7225474377734779
25,2017-11-09,50.0,0.7515701325889741,57.67468721226409,43.346572315148926,0.2855907506717834,287.6,216.4,1.1096917264931678
26,2018-05-18,50.0,0.6100064143681847,64.0181033807053,39.0514536979158,0.4942858065123863,312.8,191.2,0.8115175403869794
27,2018-11-15,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5081872711360481
28,2019-05-31,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.46082679456682685
29,2019-12-04,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5154310124719044
30,2020-06-15,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.21336701443895992
31,2020-12-18,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.467414625258111
32,2021-06-25,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.6273647626408811
33,2021-12-29,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.6562215406433237
34,2022-07-07,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.3746138210055268
35,2023-01-13,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.25325009837245066
36,2023-07-18,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.4467518142738933
37,2024-01-23,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.629556092345319
38,2024-07-26,250.0,1.0,250.0,250.0,0.0,1137.5,245.0,0.7997011758353381
