Market,Model,CAGR,Vol,Sharpe,MDD,Calmar,Turn_yr,Trades,Expo
S&P 500,JM asym,8.4,13.7,0.66,-33.9,0.25,116.7,23,78.8
DAX,JM asym,8.3,17.3,0.55,-38.8,0.22,65.3,13,88.4
Nikkei 225,JM asym,4.3,17.6,0.33,-60.7,0.07,135.6,26,77.2
