market,grid,top_months,total_months,boundary_fraction,gate_passes,cagr,volatility,sharpe,maximum_drawdown,calmar,expected_shortfall_5pct,turnover,leverage,shifts
us,"[0, 2, 4, 6, 8, 20]",90,408,0.22058823529411764,False,0.0819786794251498,0.11236792546696707,0.5255060528564083,-0.25200524110126865,0.234320622546416,-0.01786382900293448,1.7947460595446585,0.7204903677758319,122
us,"[0, 2, 4, 6, 8, 20, 40]",100,408,0.24509803921568626,False,0.082419732794063,0.11338873124413233,0.5253896224309774,-0.2232644825988389,0.26682821200595236,-0.018071076400022316,1.618213660245184,0.7228254524226503,110
us,"[0, 2, 4, 6, 8, 20, 40, 80]",146,408,0.35784313725490197,False,0.08792050410365793,0.123098307983972,0.5345920680729456,-0.3379046365187166,0.19475133493111121,-0.019229683346191778,1.2651488616462347,0.7222416812609457,86
us,"[0, 2, 4, 6, 8, 20, 40, 80, 160]",93,408,0.22794117647058823,False,0.07875009447536474,0.12483150014224063,0.461067247125432,-0.3379046365187164,0.17033124113978493,-0.01970004907077079,1.2357267950963222,0.7169877408056042,84
us,"[0, 2, 4, 6, 8, 20, 40, 80, 160, 320]",116,408,0.28431372549019607,False,0.07839592127041217,0.1303806146077316,0.44436905797551873,-0.3379046365187165,0.1714599464760458,-0.020673287453282965,0.8532399299474607,0.7445417396380619,58
de,"[0, 2, 4, 6, 8, 20]",22,408,0.05392156862745098,False,0.0678029885959035,0.1399556446635385,0.36704996692255887,-0.40198714230073906,0.12779193496180324,-0.02201070904034612,2.2557544757033248,0.7294815159265288,154
de,"[0, 2, 4, 6, 8, 20, 40]",35,408,0.0857843137254902,False,0.06229779335378405,0.14100267662569926,0.32871069555102633,-0.4825041833475048,0.09605945297019097,-0.02226287666677385,2.2850499883747966,0.7323878167867938,156
de,"[0, 2, 4, 6, 8, 20, 40, 80]",70,408,0.1715686274509804,False,0.04728479735259494,0.15043875480629212,0.2227736172450745,-0.5295388275447941,0.06328862745991477,-0.02380041383253864,2.109276912345966,0.7442455242966752,144
de,"[0, 2, 4, 6, 8, 20, 40, 80, 160]",2,408,0.004901960784313725,True,0.04691012902425462,0.15080220542962164,0.22022851351200218,-0.5295388275447926,0.06271673352090108,-0.023858968627218514,2.109276912345966,0.7466868170192978,144
de,"[0, 2, 4, 6, 8, 20, 40, 80, 160, 320]",20,408,0.049019607843137254,True,0.03510538160884602,0.15242884852099786,0.1450837667278581,-0.5534583521454896,0.03995775186278703,-0.02416884282600168,2.0506858870030227,0.7455242966751918,140
jp,"[0, 2, 4, 6, 8, 20]",161,408,0.3946078431372549,False,0.022415727300098665,0.15980463276395357,0.17710231189905581,-0.5173253550929867,0.054707873171205124,-0.025137238548276552,3.1439539347408827,0.6795825335892515,208
jp,"[0, 2, 4, 6, 8, 20, 40]",23,408,0.056372549019607844,False,0.01603230968613012,0.16214384420014571,0.13822762288005527,-0.5314817969250949,0.042170321313147345,-0.025474446028199524,3.1439539347408827,0.6842610364683301,208
jp,"[0, 2, 4, 6, 8, 20, 40, 80]",12,408,0.029411764705882353,True,0.0146461421257984,0.16300739459440952,0.1299910933665095,-0.5620026150540697,0.037703578030708486,-0.02564106951955342,3.0532629558541267,0.6848608445297505,202
jp,"[0, 2, 4, 6, 8, 20, 40, 80, 160]",128,408,0.3137254901960784,False,0.021901605860556783,0.16768629536607169,0.17344274554501127,-0.5530273795311381,0.052590472976619784,-0.026167591477412402,2.5998080614203456,0.6966170825335892,172
jp,"[0, 2, 4, 6, 8, 20, 40, 80, 160, 320]",8,408,0.0196078431372549,True,0.022949160452004014,0.1698451266515788,0.17942422393865837,-0.5376187649600972,0.056683903214361404,-0.02652820387408171,2.5091170825335896,0.7036948176583493,166
