market,delay,basis,metric,ours,shu,deviation,within_tol
de,1,total_wealth,sharpe,0.36704996692255887,0.35,0.01704996692255889,True
de,1,risky_leg_wealth_flat_in_cash,sharpe,0.36704996692255887,0.35,0.01704996692255889,True
de,5,total_wealth,sharpe,0.26995482006022203,0.35,0.08004517993977794,False
de,5,risky_leg_wealth_flat_in_cash,sharpe,0.26995482006022203,0.35,0.08004517993977794,False
de,10,total_wealth,sharpe,0.20193565232417754,0.35,0.14806434767582244,False
de,10,risky_leg_wealth_flat_in_cash,sharpe,0.20193565232417754,0.35,0.14806434767582244,False
de,1,total_wealth,maximum_drawdown,-0.40198714230073906,-0.405,0.0030128576992609624,True
de,1,risky_leg_wealth_flat_in_cash,maximum_drawdown,-0.43851117297667896,-0.405,0.03351117297667894,True
de,5,total_wealth,maximum_drawdown,-0.39507967049695736,-0.405,0.009920329503042669,True
de,5,risky_leg_wealth_flat_in_cash,maximum_drawdown,-0.43605584972824896,-0.405,0.03105584972824893,True
de,10,total_wealth,maximum_drawdown,-0.3978627687905931,-0.405,0.007137231209406902,True
de,10,risky_leg_wealth_flat_in_cash,maximum_drawdown,-0.42677411174388535,-0.405,0.021774111743885327,True
de,1,total_wealth,calmar,0.12779193496180324,0.12,0.0077919349618032485,True
de,1,risky_leg_wealth_flat_in_cash,calmar,0.11714801790719528,0.12,0.0028519820928047113,True
de,5,total_wealth,calmar,0.09712959400872384,0.12,0.022870405991276155,True
de,5,risky_leg_wealth_flat_in_cash,calmar,0.08800232360231972,0.12,0.03199767639768028,True
de,10,total_wealth,calmar,0.07425280194056565,0.12,0.04574719805943435,True
de,10,risky_leg_wealth_flat_in_cash,calmar,0.06922262751556472,0.12,0.05077737248443527,False
de,1,total_wealth,expected_shortfall_5pct,-0.02201070904034612,-0.022,1.0709040346119914e-05,True
de,1,risky_leg_wealth_flat_in_cash,expected_shortfall_5pct,-0.02201070904034612,-0.022,1.0709040346119914e-05,True
de,5,total_wealth,expected_shortfall_5pct,-0.022462850944392092,-0.022,0.00046285094439209307,True
