lambda,weight,share,market,in_support
0.0,6432.0,0.7607332939089296,us,True
1.0,403.0,0.04766410408042578,us,True
20.0,227.0,0.02684801892371378,us,True
1.93069772888325,215.0,0.0254287403903016,us,True
3.72759372031494,147.0,0.01738616203429923,us,True
0.1,126.0,0.014902424600827913,us,True
10.0,124.0,0.014665878178592549,us,True
13.894954943731374,108.0,0.01277350680070964,us,False
30.0,90.0,0.010644589000591367,us,False
150.0,83.0,0.009816676522767593,us,False
26.826957952797247,65.0,0.00768775872264932,us,False
21.544346900318832,62.0,0.0073329390892962745,us,False
35.0,59.0,0.006978119455943229,us,False
70.0,44.0,0.0052040212891780015,us,False
22.0,43.0,0.00508574807806032,us,False
5.0,42.0,0.004967474866942638,us,False
4.641588833612778,41.0,0.004849201655824956,us,False
15.0,41.0,0.004849201655824956,us,False
40.0,40.0,0.004730928444707274,us,False
60.0,22.0,0.0026020106445890008,us,False
25.0,21.0,0.002483737433471319,us,False
7.196856730011519,20.0,0.002365464222353637,us,False
0.0,5501.0,0.6527052681537732,de,True
1.0,366.0,0.04342667299477931,de,True
3.72759372031494,303.0,0.0359515899383009,de,True
10.0,272.0,0.0322733744660655,de,True
20.0,227.0,0.026934029425723777,de,True
7.196856730011519,195.0,0.023137161841480777,de,True
1.93069772888325,191.0,0.022662553393450403,de,True
500.0,183.0,0.021713336497389654,de,True
4.641588833612778,124.0,0.014712861888941622,de,True
15.0,102.0,0.01210251542477456,de,True
70.0,100.0,0.011865211200759373,de,True
0.1,99.0,0.01174655908875178,de,True
100.0,99.0,0.01174655908875178,de,False
5.0,91.0,0.01079734219269103,de,False
25.0,87.0,0.010322733744660655,de,False
50.0,84.0,0.009966777408637873,de,False
80.0,65.0,0.007712387280493593,de,False
35.0,65.0,0.007712387280493593,de,False
13.894954943731374,62.0,0.007356430944470811,de,False
21.544346900318832,44.0,0.005220692928334125,de,False
220.0,43.0,0.00510204081632653,de,False
40.0,39.0,0.004627432368296156,de,False
60.0,22.0,0.0026103464641670624,de,False
22.0,20.0,0.0023730422401518746,de,False
26.826957952797247,16.0,0.0018984337921214998,de,False
150.0,14.999999999999998,0.0017797816801139058,de,False
1000.0,13.0,0.0015424774560987185,de,False
0.0,3998.0,0.48501759068300376,jp,True
150.0,662.0,0.08031056654130778,jp,True
1.0,589.0,0.07145456751182822,jp,True
3.72759372031494,351.0,0.04258158437462089,jp,True
0.1,317.0,0.038456872497876986,jp,True
1.93069772888325,304.0,0.03687977678029843,jp,True
50.0,268.0,0.03251243479315783,jp,True
20.0,240.0,0.029115613247604026,jp,True
10.0,218.0,0.026446682033240326,jp,True
7.196856730011519,205.0,0.024869586315661774,jp,True
100.0,143.0,0.017348052893364066,jp,True
60.0,124.0,0.015043066844595413,jp,True
30.0,119.0,0.014436491568603663,jp,False
13.894954943731374,103.0,0.012495450685430062,jp,False
4.641588833612778,73.0,0.00885599902947956,jp,False
40.0,65.0,0.007885478587892757,jp,False
25.0,63.0,0.007642848477496057,jp,False
35.0,62.0,0.007521533422297707,jp,False
26.826957952797247,61.0,0.007400218367099357,jp,False
51.7947467923121,57.0,0.006914958146305957,jp,False
80.0,43.0,0.005216547373529055,jp,False
70.0,41.0,0.004973917263132355,jp,False
1000.0,40.0,0.004852602207934004,jp,False
15.0,38.0,0.004609972097537304,jp,False
5.0,21.0,0.0025476161591653523,jp,False
21.544346900318832,19.0,0.002304986048768652,jp,False
22.0,19.0,0.002304986048768652,jp,False
